Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,0.008462,-0.005819,0.021092,0.304186,-0.020725,-0.006439,0.400003,-0.0000057,0.021848,-0.278039,-0.154322,-0.000726,-41.976433,-42.001125,-42.004356,-42.936497,-41.999977,-41.982494,0.000410,0.000335,0.000275,-0.005734,0.000508,0.000442,0.836589,0.765582,0.827191,-0.822266,-0.803021,-0.739784,0.000627,0.000868,0.001023,-0.002068,0.000857,0.000777,0.001869,0.001943,0.002044,0.003412,0.001946,0.002057,-0.003579,-0.003597,-0.003426,-0.003783,-0.003412,0.000458
0.020000,0.046079,-0.015194,0.023073,0.609550,-0.081439,-0.001175,0.400017,-0.000030,0.020455,-1.447035,-0.796892,-0.015207,-41.982426,-41.925762,-42.026653,-42.902435,-42.025890,-41.971813,-0.002131,0.004128,0.004054,-0.011898,0.004963,-0.002409,0.861669,0.674659,0.791428,1.077421,-0.550222,-0.770914,-0.001497,0.006376,-0.000451,-0.009324,0.006400,-0.001208,-0.003656,0.013079,0.011954,0.010799,0.013967,-0.004273,-0.000746,-0.020669,-0.001542,-0.012987,-0.019193,-0.002374
0.030000,0.213399,-0.138582,1.629036,0.905148,0.023541,0.009824,0.400042,-0.000031,0.018859,-1.341284,-1.645364,-0.044765,-41.895267,-41.886940,-42.881817,-41.391712,-42.034122,-41.858002,0.000947,-0.006551,-0.042398,-0.024970,0.000238,0.000318,0.654223,0.473960,1.900377,-1.755161,-0.974704,-0.866507,-0.005276,0.000297,0.020741,-0.004938,-0.009962,-0.003012,-0.002561,0.013469,0.048838,0.022805,0.002420,0.001638,0.016840,0.015457,-0.027213,-0.020009,0.033330,0.000347
0.040000,0.610214,-0.055187,1.210412,0.952334,-0.121346,1.418677,0.400067,-0.000028,0.017853,-1.250521,-2.513722,-0.052669,-41.852325,-42.538563,-42.468483,-42.009159,-42.054531,-41.238174,0.000792,-0.018067,-0.040579,-0.023473,0.000643,-0.035650,0.928004,-0.322597,-1.923512,1.143101,-1.297108,-1.509230,0.004177,0.008660,0.024186,-0.019493,0.007592,-0.016685,0.001198,0.021781,0.013097,0.037682,-0.005050,0.073792,-0.012948,-0.015524,-0.045690,-0.015029,-0.014712,-0.035686
0.050000,0.441019,-0.088657,1.510981,0.346012,-0.087815,1.771453,0.400078,-0.000030,0.017394,-1.199590,-3.000528,-0.059446,-41.949898,-41.358593,-43.211254,-42.559978,-41.943192,-40.320351,-0.000422,-0.022768,-0.043596,-0.009072,-0.000382,-0.056722,0.737715,0.042675,2.367972,-0.397854,-1.635812,-2.494519,-0.007027,0.006530,0.025080,-0.005779,0.001609,-0.014675,-0.007811,-0.010486,0.094740,0.013961,-0.009576,0.073712,0.014801,-0.015530,-0.011665,-0.006592,-0.001006,-0.057003
0.060000,0.368919,-0.016051,1.539802,0.453700,-0.065094,1.649846,0.400076,-0.000031,0.017494,-1.095996,-2.932681,-0.053546,-42.065536,-41.896751,-42.365166,-42.402645,-41.929222,-41.153019,-0.001054,-0.011708,-0.050274,-0.006989,-0.000853,-0.048305,0.790991,-0.439619,2.831032,-0.455794,-1.586569,-3.599566,0.005528,0.005322,0.036257,-0.006488,-0.000459,-0.028585,-0.011496,0.025514,0.063413,0.022553,-0.010873,0.081583,-0.011786,0.002605,-0.042747,-0.005651,0.006642,-0.048462
0.070000,0.113441,-0.052495,1.160148,0.508159,-0.102146,1.186269,0.400065,-0.000037,0.017860,-1.536033,-2.575426,-0.066832,-42.075840,-41.815731,-42.843555,-42.192696,-41.929066,-40.520172,-0.000335,-0.005303,-0.036041,-0.015129,0.000287,-0.040246,0.809651,1.745988,3.008289,-0.349216,-1.673276,-1.729432,-0.005612,-0.002109,0.022776,-0.006014,0.002649,-0.016151,-0.004404,0.002563,0.050162,0.021947,-0.004667,0.045177,0.008173,0.003726,-0.028188,-0.019613,-0.008583,-0.040065
0.080000,0.279704,-0.078821,1.129652,0.612345,-0.012680,0.749144,0.400049,-0.000043,0.018344,-1.621078,-2.130720,-0.048541,-42.049969,-41.680336,-43.970417,-42.718639,-42.021049,-41.741718,0.000359,-0.009913,-0.035344,-0.013424,0.000257,-0.022339,0.974777,1.737218,-0.228683,-0.381529,0.178678,-1.126725,-0.002127,0.003961,0.026369,-0.009020,-0.007801,-0.004315,-0.001826,0.010285,0.038604,0.024918,-0.003163,0.030271,0.005201,-0.008427,-0.034895,-0.013674,0.026378,-0.022409
0.090000,0.557357,-0.097922,0.768142,0.667024,-0.042876,0.371586,0.400032,-0.000027,0.018789,-1.234909,-1.960910,-0.017757,-40.122181,-40.111542,-41.637573,-42.477425,-41.922943,-41.759533,0.001037,-0.016745,-0.024907,-0.016949,0.000865,-0.008624,2.658009,2.025971,2.916245,-1.385734,0.039560,-1.282490,-0.003574,0.007109,0.008217,-0.008599,-0.000173,-0.006546,-0.002201,0.020617,0.025236,0.025713,0.001821,0.020976,0.010115,-0.006435,0.002057,-0.013585,0.003043,-0.008505
