Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,0.008896,-0.005425,0.021706,0.308107,-0.021235,-0.006581,0.400003,-0.0000058,0.021849,-0.285402,-0.156217,-0.000761,-42.001083,-41.981682,-42.001282,-42.934822,-42.000343,-42.000221,0.000418,0.000338,0.000271,-0.005834,0.000513,0.000437,0.829841,0.848665,0.773942,-0.841338,-0.748764,-0.752870,0.000679,0.000898,0.001055,-0.002269,0.000856,0.000751,0.001909,0.001987,0.002051,0.003430,0.001957,0.002059,-0.003769,-0.003711,-0.003563,-0.003700,-0.003452,0.000449
0.020000,0.007921,-0.031242,0.060155,0.488720,-0.043901,-0.025994,0.400017,-0.000028,0.020431,-1.258597,-0.760465,-0.016045,-41.920853,-41.877319,-42.014400,-42.791264,-41.942989,-42.022961,0.004348,-0.002764,0.003800,-0.010391,0.004616,0.004383,1.075263,1.107092,1.098814,-1.373372,-0.650382,-0.901710,-0.002342,-0.001694,0.006432,-0.000328,-0.001073,-0.001062,0.011543,-0.005714,0.011591,0.007512,0.012885,0.012213,0.001526,0.000714,-0.019483,-0.017061,-0.000435,0.004399
0.030000,0.598106,-0.093119,0.756101,0.696455,-0.014549,-0.017038,0.400042,-0.000043,0.018516,-1.994433,-1.706532,-0.059628,-41.952015,-42.703205,-41.792332,-42.559395,-41.848351,-41.915524,0.000987,-0.013762,-0.018924,-0.013297,0.000617,0.000716,0.802438,1.141953,1.427919,1.064772,-0.835106,-0.884836,-0.002127,0.005954,0.004076,-0.017188,-0.000946,0.005523,-0.000859,0.031620,0.036703,0.023672,0.003290,0.002644,0.007818,-0.009029,0.007426,-0.009122,0.006493,0.000740
0.040000,0.982867,-0.156997,1.612203,0.871535,-0.102624,1.843359,0.400072,-0.000027,0.017487,-1.250699,-2.543132,-0.065789,-41.961296,-43.003796,-40.965488,-42.207767,-41.940670,-41.063526,0.001025,-0.025984,-0.051407,-0.022096,0.000213,-0.049139,0.751731,-1.256095,5.003441,1.301834,-0.802207,-2.364282,-0.006332,0.022252,0.035965,-0.011912,0.004790,-0.031244,-0.005048,0.042945,0.052139,0.032790,-0.007430,0.080487,0.016744,-0.035380,-0.040735,-0.014975,-0.002070,-0.049353
0.050000,0.483278,-0.043734,1.549762,0.673838,-0.037250,1.973330,0.400085,-0.000017,0.017288,-0.675429,-3.109431,-0.048728,-42.024708,-42.911118,-42.380650,-41.913963,-41.679405,-42.717701,-0.000018,-0.018069,-0.052522,-0.017839,-0.001960,-0.065735,0.751348,-0.687137,1.729377,1.433629,-0.929254,-1.248786,0.005574,0.007721,0.036467,-0.010237,-0.000527,-0.017609,-0.003786,0.018033,0.065251,0.032189,-0.007438,0.079060,-0.012979,-0.007479,-0.030535,-0.006503,0.005069,-0.066067
0.060000,0.105845,-0.025056,1.571081,0.539524,-0.005412,1.712690,0.400080,-0.000017,0.017822,-0.490755,-3.086995,-0.034636,-42.126507,-43.236855,-41.592808,-41.692314,-41.631535,-43.701378,-0.001207,-0.004269,-0.045483,-0.014536,-0.003085,-0.051251,0.570020,0.126987,2.359448,-1.118799,-0.916648,-1.583848,0.000568,0.002673,0.037180,-0.006809,0.000504,-0.023737,-0.011389,0.003395,0.084176,0.024012,-0.005867,0.091147,-0.004565,-0.005655,-0.026555,-0.009099,-0.005621,-0.051166
0.070000,-0.058055,-0.026810,1.119444,0.432113,-0.053382,0.777406,0.400070,-0.000021,0.018403,-0.615723,-2.784499,-0.038305,-42.148918,-43.236801,-41.014095,-42.260952,-41.707485,-43.324379,-0.000363,0.000616,-0.037539,-0.010992,0.000522,-0.021392,0.509396,0.039478,3.457742,-0.801526,-0.900699,-0.491221,0.000027,-0.000835,0.018750,-0.000976,0.001102,-0.014409,-0.005120,-0.003513,0.046314,0.022242,-0.002727,0.044582,-0.001279,-0.000308,-0.005320,-0.012736,-0.001690,-0.021466
0.080000,-0.049439,-0.042551,1.040966,0.541293,-0.049406,0.730933,0.400054,-0.000025,0.018823,-0.651932,-2.367097,-0.029542,-42.089970,-43.301266,-41.868626,-42.322231,-41.709515,-41.761440,-0.000068,0.000254,-0.030049,-0.013585,0.000066,-0.026264,0.538246,0.078055,1.909912,-1.187201,-0.838293,1.775002,-0.001279,-0.001210,0.023611,-0.006613,0.000218,-0.009478,-0.003186,-0.002736,0.046468,0.023922,-0.002860,0.021401,0.001722,0.001444,-0.017796,-0.008991,0.001008,-0.026100
0.090000,-0.047397,-0.052027,1.148416,0.602094,-0.071912,0.240756,0.400034,-0.000025,0.019039,-1.155708,-2.004302,-0.034163,-40.145012,-41.382053,-41.677910,-42.847855,-41.777416,-41.645107,-0.006764,-0.006734,-0.028813,-0.013214,0.000881,-0.008318,2.260656,1.977968,2.617110,-0.114958,-0.774528,0.586741,-0.006386,-0.006724,0.010048,-0.013170,0.002413,-0.003343,-0.019623,-0.019926,0.052449,0.025026,0.000382,0.009119,0.011313,0.013413,-0.016788,-0.011897,-0.008485,-0.008243
