Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,0.008301,-0.005781,0.021511,0.305507,-0.020889,-0.006329,0.400003,-0.0000057,0.021848,-0.279760,-0.154631,-0.000760,-42.001003,-41.986015,-41.989410,-42.938419,-42.000149,-41.982700,0.000415,0.000347,0.000273,-0.005751,0.000511,0.000443,0.782958,0.778587,0.862571,-1.035132,-0.760231,-0.719178,0.000634,0.000842,0.001070,-0.002067,0.000865,0.000730,0.001883,0.001983,0.002055,0.003422,0.001943,0.002071,-0.003603,-0.003542,-0.003580,-0.003805,-0.003445,0.000458
0.020000,0.054427,-0.004796,0.038596,0.676489,-0.050377,0.014335,0.400018,-0.000030,0.020466,-1.383925,-0.848928,-0.019134,-42.027401,-41.880398,-41.991749,-41.790668,-42.037308,-41.877697,0.004733,-0.002509,-0.002366,-0.019245,0.005076,-0.002259,0.737633,0.680861,0.862544,-1.297930,-0.888814,-0.443785,0.005180,0.006085,-0.000820,-0.002681,-0.000780,-0.002004,0.014259,-0.002327,-0.003226,0.008600,0.016466,-0.001888,-0.016975,-0.020086,-0.000508,-0.020895,-0.000715,-0.002203
0.030000,-0.087434,-0.091469,1.373984,0.728164,-0.025783,0.002410,0.400041,-0.000037,0.018699,-1.734258,-1.602071,-0.055082,-42.045044,-41.826527,-42.456837,-42.714027,-42.009468,-41.864826,0.000466,0.000392,-0.034666,-0.013261,0.000289,-0.000029,0.560431,0.533438,2.413161,0.677500,-0.823724,-0.778002,-0.003556,-0.003348,0.021747,-0.016117,0.004467,-0.001927,-0.002723,-0.003953,0.048613,0.023098,0.000433,-0.000449,0.013478,0.013455,-0.019749,-0.008235,-0.005239,-0.000023
0.040000,0.502730,-0.125297,1.905487,1.180080,-0.082765,1.271757,0.400073,-0.000033,0.017530,-1.438109,-2.468377,-0.071336,-42.063152,-42.447647,-43.351845,-41.227737,-41.886936,-41.330135,0.001154,-0.014051,-0.053823,-0.028255,0.000225,-0.031528,0.266295,0.426122,3.694859,0.317713,-0.699838,-2.513337,-0.003232,0.006932,0.033231,-0.015338,-0.000954,-0.014102,-0.002359,0.030578,0.075356,0.043351,-0.005728,0.069339,0.007502,0.000271,-0.065607,-0.028668,0.009843,-0.031586
0.050000,0.390608,-0.075394,1.975980,0.696232,0.005823,1.675430,0.400087,-0.000025,0.017262,-0.999730,-3.006534,-0.064829,-41.990200,-42.283264,-45.064022,-40.929352,-41.905193,-44.175079,-0.000352,-0.009928,-0.065309,-0.020145,-0.002810,-0.050501,-0.119129,1.031687,-3.490026,-1.977574,-0.714785,-1.489462,-0.001479,0.011068,0.029885,-0.010158,-0.006842,-0.021725,-0.007657,0.022356,0.080998,0.029793,-0.005810,0.073233,0.001280,-0.016404,-0.039541,-0.012086,0.017691,-0.050980
0.060000,0.209489,-0.065451,1.751564,0.520912,-0.042748,1.271917,0.400086,-0.000017,0.017686,-0.619645,-3.150866,-0.053845,-41.984661,-42.778091,-42.187588,-41.024536,-41.928818,-44.515255,-0.000610,-0.009197,-0.057247,-0.014893,-0.000730,-0.038314,0.049451,0.622422,4.949620,-1.587306,-0.574196,-0.725046,-0.002282,-0.000885,0.015847,-0.000504,0.000134,-0.014783,-0.009648,0.011404,0.089122,0.024515,-0.005436,0.064218,0.004670,0.011854,-0.012512,-0.013707,0.001513,-0.038464
0.070000,-0.005085,-0.068053,1.303821,0.474212,-0.075934,0.949003,0.400076,-0.000012,0.018206,-0.523298,-2.947892,-0.044599,-41.999474,-42.809566,-44.461929,-41.697445,-42.032310,-43.277153,0.000093,0.000210,-0.038511,-0.012366,-0.000330,-0.033375,1.755413,0.881040,0.801536,-1.014529,-0.557447,-2.201145,-0.007069,0.006298,0.015379,-0.005749,0.002008,-0.015790,-0.004930,-0.006345,0.071959,0.023728,-0.006741,0.037787,0.013950,-0.019592,-0.017111,-0.007973,-0.006641,-0.033288
0.080000,-0.092634,0.050414,0.941870,0.429894,-0.059594,0.948135,0.400059,-0.000021,0.018706,-0.673695,-2.493415,-0.047643,-42.045605,-42.919098,-44.740154,-41.521870,-42.033165,-42.129951,-0.000994,0.000097,-0.023155,-0.011104,-0.000061,-0.030520,0.156821,0.925873,-1.231610,-1.713451,-0.358913,-1.988595,0.009319,-0.007973,0.020630,-0.003754,0.000956,-0.012143,-0.005211,-0.003679,0.051684,0.018547,-0.004974,0.041670,-0.026448,0.017165,-0.027301,-0.007146,-0.001535,-0.030377
0.090000,0.045130,-0.092500,0.967270,0.543297,-0.039778,0.180369,0.400037,-0.000027,0.018835,-1.380333,-2.125971,-0.061640,-40.118328,-41.035416,-42.281658,-42.122505,-41.921658,-42.411915,-0.006362,-0.007061,-0.034494,-0.012049,0.000477,-0.006709,1.884039,0.969177,3.849877,-0.204093,-0.270062,-0.937733,-0.009148,0.007886,0.003426,-0.013409,0.001050,0.003296,-0.017305,-0.018868,0.030502,0.023261,0.000430,0.007274,0.021955,-0.021158,0.007713,-0.008549,-0.002685,-0.006718
