Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000014,0.000000090,-0.0000000066,0.00000039,0.0000012,0.400000,-0.0000000050,0.021764,0.000000044,-0.00000080,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789727,-0.789728,0.000000044,-0.000000001,0.0000000054,0.00000000044,-0.000000012,-0.0000000090,-0.00000014,0.0000018,-0.00000014,0.00000023,-0.0000017,0.000000016,0.00000042,0.00000087,0.00000096,0.000000026,0.0000013,-0.00000001
0.020000,-0.022949,-0.023573,-0.026652,0.001623,-0.011544,-0.012478,0.399999,0.000000036,0.020050,0.006590,-0.003175,0.000903,-42.012280,-42.012089,-42.072048,-42.000027,-42.036602,-42.080524,0.003386,0.003387,0.003529,-0.000125,-0.003411,-0.003322,0.721295,0.821399,0.720148,0.016065,-0.670399,-0.598321,-0.003443,-0.003191,-0.003469,-0.000184,0.004119,0.003936,0.008081,0.008047,0.008330,-0.000287,-0.009773,-0.009530,0.007481,0.006502,0.006852,0.0000048,-0.012315,-0.003324
0.030000,0.285846,0.392969,0.482989,0.004449,0.060888,0.072062,0.400005,0.000018,0.017580,0.889972,-0.106693,-0.002694,-42.292484,-41.977390,-41.934677,-41.999794,-42.037994,-42.185616,-0.008840,-0.008429,-0.010290,0.0000078,0.000015,0.000108,0.593953,0.679522,1.165094,0.009754,-0.840162,-1.032473,0.006639,0.002624,0.007234,-0.000226,-0.010761,-0.010680,0.008479,0.003874,0.010638,0.000303,0.002088,0.002570,0.008539,0.021278,0.008734,0.002435,0.037802,0.000129
0.040000,0.577880,0.628830,1.472817,-0.041763,1.855462,1.807839,0.400027,0.000036,0.016304,1.652332,-0.389035,0.012656,-42.039112,-42.028835,-42.373470,-41.998173,-41.248245,-42.746994,-0.020938,-0.017733,-0.046426,0.000036,-0.049020,-0.046891,1.420215,1.464557,1.715935,0.038276,-2.024130,-3.889167,0.008260,0.013723,0.011072,0.000362,-0.010422,-0.008761,-0.004687,0.001607,-0.006809,-0.000339,0.025576,0.030738,0.007643,-0.004733,0.051019,-0.002473,0.019511,-0.047158
0.050000,0.624997,0.385530,1.467421,-0.039304,1.724143,1.607769,0.400036,0.000030,0.016416,1.566106,-0.791185,0.015426,-41.870411,-42.127804,-42.744923,-41.998768,-42.532898,-45.448299,-0.013059,-0.018032,-0.039370,0.000030,-0.055276,-0.050260,-0.539307,0.974613,-0.631995,0.048139,-0.866728,-0.928603,0.008421,0.017597,0.026338,0.000369,-0.020613,-0.022664,0.001245,0.007155,0.016714,-0.000115,0.005964,0.007386,-0.002265,0.000145,0.013437,-0.002144,0.054669,-0.050511
0.060000,0.429834,0.062490,1.009329,-0.014236,0.829747,1.056503,0.400032,0.000012,0.017225,0.772810,-1.037917,0.009390,-41.989326,-41.921093,-43.018639,-41.998566,-42.164734,-42.935802,-0.001621,-0.016123,-0.027194,-0.0000065,-0.021967,-0.036950,0.193650,1.089306,1.372103,0.054532,-1.410802,-2.687894,0.000770,0.003898,0.014848,0.000096,-0.005456,-0.004160,0.004346,-0.001037,0.017724,-0.000551,0.020285,0.003154,-0.001024,0.025577,0.012271,-0.000549,0.004750,-0.036934
0.070000,0.438722,-0.103669,0.927176,-0.004651,0.352338,0.571274,0.400022,0.0000077,0.017961,0.383890,-0.967340,0.006579,-41.981350,-41.711487,-42.739479,-41.999798,-41.987400,-43.591129,0.000587,-0.011456,-0.033279,-0.000017,-0.010711,-0.016858,1.630448,-0.500082,0.959204,0.051308,-0.560835,1.251591,-0.009413,0.014590,0.008732,0.0000015,-0.004791,-0.014817,-0.002349,0.009312,0.001953,-0.000536,0.006004,0.010351,0.022733,-0.010213,0.024410,0.000076,0.005961,-0.016870
0.080000,0.120560,0.030642,0.506500,-0.009949,0.177622,0.597230,0.400007,0.0000035,0.018387,-0.068248,-0.600913,0.000821,-42.086517,-41.924583,-42.700470,-42.000221,-41.799709,-42.613586,-0.000782,-0.004329,-0.011489,-0.000012,-0.005140,-0.018321,1.583347,1.509936,1.056166,0.050953,-0.479950,0.184634,0.002442,-0.004614,0.007007,0.000160,-0.006628,-0.006300,-0.003956,-0.000093,0.015000,-0.000451,0.003073,0.006171,-0.010330,0.013194,0.000150,-0.001183,0.010843,-0.018203
0.090000,0.630593,0.225945,0.474866,-0.001026,0.280728,0.284049,0.399993,0.000012,0.018443,0.014177,-0.289162,0.008486,-40.108955,-40.253029,-41.587662,-42.000523,-42.202473,-42.920994,-0.013811,-0.021611,-0.019266,0.000016,-0.004895,-0.000516,3.400697,1.933271,2.959548,0.046691,-1.013263,-0.375228,-0.002123,0.011077,0.001051,-0.000173,-0.004713,-0.005519,-0.009542,-0.001773,-0.006247,0.000203,0.010633,0.022424,0.018648,-0.004603,0.016723,0.001947,0.008414,-0.000535
0.100000,0.560021,0.217852,0.342031,-0.025472,0.718670,0.758668,0.399979,0.000028,0.018486,0.486761,-0.340544,0.023530,-38.271935,-38.657677,-39.496090,-40.050220,-39.898586,-40.611992,-0.007710,-0.017654,-0.009509,0.000042,-0.026463,-0.027153,5.574090,4.274906,5.043084,-1.896594,-3.160311,-2.807305,0.002154,-0.000338,0.003639,0.000593,-0.000283,0.0000093,0.000530,0.002486,0.006261,0.000448,-0.008463,-0.006369,0.002488,0.024600,0.004704,-0.001151,-0.016297,-0.027047
0.110000,0.877574,-0.011787,-0.003614,-0.014178,0.279405,0.928271,0.399970,0.000030,0.018424,0.240313,-0.299675,0.030505,-38.265766,-37.308731,-39.499680,-38.099426,-39.809227,-39.242107,-0.000017,-0.022728,-0.000827,0.0000074,-0.009140,-0.025642,7.540310,5.776783,6.934664,-3.849558,-4.998283,-4.351678,0.001390,0.011950,0.001918,0.000147,-0.002747,-0.010081,0.000534,0.008032,-0.002445,-0.000091,-0.000533,0.005389,-0.007746,-0.001101,-0.009900,-0.000654,-0.002842,-0.025614
0.120000,0.950357,0.277151,0.271985,-0.011448,0.427385,1.143844,0.399968,0.000023,0.018478,0.402512,-0.274318,0.033627,-38.650181,-34.943058,-39.261612,-36.148399,-39.835690,-36.783741,-0.005801,-0.025665,-0.005779,0.000010,-0.011120,-0.031046,5.810196,8.716907,4.897573,-5.803805,-5.605012,-6.962469,0.010430,0.012562,0.009859,0.0000016,-0.007000,-0.016351,0.009364,-0.000204,0.010853,-0.000020,0.005548,0.005571,-0.019354,0.010274,-0.017746,0.000983,0.011121,-0.030959
0.130000,0.981987,0.046553,0.131937,-0.017157,0.377114,1.099166,0.399966,0.000012,0.018686,0.144717,-0.173261,0.040318,-40.567524,-33.625599,-41.249310,-34.197636,-39.665199,-35.296776,0.003589,-0.024373,0.000736,0.0000033,-0.010988,-0.031755,3.867854,10.773804,3.055963,-7.747754,-3.956411,-9.869390,0.002401,0.015284,0.004272,0.000189,-0.011451,-0.011833,0.009673,0.004472,0.008119,-0.000393,0.000064,-0.005030,-0.006015,-0.002306,-0.006253,-0.001320,0.016753,-0.032032
