Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000016,0.000000087,-0.0000000087,0.00000039,0.0000012,0.400000,-0.0000000050,0.021764,0.000000068,-0.00000086,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789727,-0.789727,0.000000042,-0.000000001,0.0000000052,0.00000000044,-0.000000012,-0.00000001,-0.00000013,0.0000018,-0.00000013,0.00000023,-0.0000017,0.000000017,0.00000043,0.00000087,0.00000097,0.000000026,0.0000013,-0.00000001
0.020000,-0.014376,-0.012735,-0.015662,-0.000919,0.006622,-0.023333,0.399999,0.000000060,0.020048,0.022362,-0.001658,0.001376,-42.011829,-42.011497,-42.068184,-41.999962,-42.097805,-42.078556,0.003351,0.003355,0.003501,-0.000122,-0.003365,-0.003245,0.749463,0.772932,0.787029,-0.787752,-0.777877,-1.094117,-0.002698,-0.002777,-0.002770,-0.000136,-0.002596,0.004597,0.008157,0.008114,0.008474,-0.000300,-0.009515,-0.009558,0.004374,0.004392,0.004150,-0.000432,0.004929,-0.003249
0.030000,0.370344,0.347278,0.427532,0.010862,0.057067,0.072090,0.400005,0.000017,0.017582,0.867133,-0.107384,-0.001660,-42.031979,-42.019596,-41.953056,-42.000130,-42.100464,-42.079174,-0.008653,-0.008749,-0.009917,0.0000028,0.000208,0.000101,0.835605,0.753725,0.877406,-0.794570,-0.997193,-1.227732,0.004756,0.005062,0.005337,-0.000357,-0.004703,-0.005051,0.007190,0.008114,0.008690,0.000278,0.002548,0.002514,0.014242,0.013917,0.013814,0.003871,0.025611,0.000123
0.040000,0.774794,0.553189,1.508101,-0.053741,1.754423,2.012440,0.400027,0.000032,0.016388,1.530082,-0.365724,0.010637,-42.813385,-42.260845,-40.785069,-41.998043,-43.398739,-41.196411,-0.017867,-0.022928,-0.044424,0.000039,-0.048559,-0.054172,1.138593,0.634470,2.493156,-0.792203,-1.631985,-2.140033,0.002082,0.010766,0.016798,0.000950,-0.007387,-0.021978,-0.003837,-0.000340,-0.003279,-0.000546,0.020417,0.026920,0.017268,0.006914,0.029949,-0.004770,0.005011,-0.054343
0.050000,0.624189,0.394006,1.368875,-0.029199,1.318758,1.642207,0.400031,0.000022,0.016524,1.260281,-0.570596,0.013337,-42.716457,-42.979485,-40.129925,-41.997131,-42.800198,-42.195053,-0.012463,-0.017609,-0.041648,0.000015,-0.036359,-0.051812,0.329925,1.252356,3.919654,-0.794471,-2.527882,-3.519154,0.014130,0.009974,0.017973,0.000221,-0.020334,-0.010338,0.000736,0.003589,0.002663,-0.000173,0.012556,0.002292,-0.016661,0.002974,0.025848,-0.000769,0.045942,-0.052126
0.060000,0.640182,0.086561,1.077836,-0.015360,0.866382,1.084908,0.400023,0.000014,0.017281,1.050880,-0.652532,0.013660,-42.901714,-41.574104,-41.794807,-41.998436,-42.870518,-43.221416,-0.003645,-0.025412,-0.031178,0.0000028,-0.028372,-0.033241,0.323205,0.814350,-0.626991,-0.795370,-1.713005,-1.992662,0.000057,0.010085,0.021219,0.000063,-0.004756,-0.019050,0.002067,-0.006907,0.006808,-0.000114,0.002640,0.007153,0.004571,0.018826,0.019178,0.000149,0.002292,-0.033224
0.070000,0.437652,-0.004424,0.322903,-0.010043,0.248495,0.775158,0.400011,0.00000029,0.017972,0.280550,-0.484425,0.002704,-42.750919,-41.711231,-41.770676,-41.998512,-43.418312,-41.886452,-0.000556,-0.013703,-0.010010,-0.0000047,-0.006546,-0.023652,0.346017,1.279540,1.786723,-0.799892,-1.099431,-1.873804,0.001471,0.002297,0.001099,0.000113,-0.000903,-0.002461,-0.002780,0.002664,0.003635,-0.000358,0.008007,0.004612,-0.007550,0.012604,0.008131,-0.000637,-0.005234,-0.023508
0.080000,0.419594,0.002564,0.496376,-0.002581,0.348697,0.249492,0.400003,-0.0000036,0.018221,0.201198,-0.219666,0.007243,-42.623013,-41.789707,-42.381561,-41.998413,-43.490791,-41.722523,-0.001000,-0.012796,-0.013488,-0.0000018,-0.008141,-0.006932,0.250067,1.204108,0.152887,-0.800430,0.656709,-1.648936,-0.001275,0.003120,0.014819,-0.000048,-0.014243,-0.004043,0.001280,0.001973,0.005529,-0.000203,0.004900,0.003209,0.007686,0.007760,-0.008363,0.000487,0.025954,-0.006842
0.090000,0.729647,0.180449,0.538006,-0.016893,0.518353,0.543093,0.399991,0.0000078,0.018398,0.423790,-0.186063,0.011970,-41.016468,-40.921074,-41.246681,-41.998867,-42.393333,-41.475269,-0.013438,-0.018801,-0.016549,0.000028,-0.020476,-0.013377,2.060559,0.832245,2.080257,-0.803502,-1.735903,-1.676106,-0.006890,0.013277,-0.001396,0.000107,0.000372,-0.016421,-0.014048,0.005656,0.000664,0.000397,-0.010306,0.010667,0.023886,-0.009830,0.024578,-0.000253,-0.017983,-0.013373
0.100000,0.296528,0.300122,0.553541,-0.017133,0.483104,0.904254,0.399974,0.0000078,0.018598,0.245895,-0.208772,0.020812,-39.206913,-39.293484,-39.644897,-40.048714,-40.224640,-40.062283,-0.008195,-0.009156,-0.015799,0.000014,-0.015592,-0.028677,4.480877,2.746583,4.587893,-2.742258,-3.848150,-2.361164,0.003632,-0.002157,0.006062,0.000157,-0.004122,-0.003105,0.004228,0.001837,0.003522,0.000021,-0.001885,-0.005622,-0.002014,0.013415,0.001054,-0.000679,-0.003455,-0.028627
