Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000014,0.000000093,-0.000000007,0.00000039,0.0000012,0.400000,-0.0000000050,0.021764,0.0000000062,-0.0000008,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789727,-0.789728,0.000000044,-0.00000000075,0.0000000057,0.00000000044,-0.000000012,-0.00000001,-0.00000014,0.0000018,-0.00000014,0.00000023,-0.0000018,0.000000018,0.00000042,0.00000086,0.00000096,0.000000026,0.0000013,-0.0000000095
0.020000,-0.024491,-0.023448,-0.025135,0.001664,-0.012284,-0.011636,0.399999,-0.00000027,0.020048,0.060849,-0.001251,0.000822,-42.011604,-41.899101,-42.011215,-42.000004,-41.989944,-42.033684,0.003402,0.003376,0.003403,-0.000125,-0.003290,-0.003445,0.669249,0.655753,0.620919,-0.789332,-1.353297,-0.759875,-0.003381,-0.003372,-0.003278,-0.000184,0.004156,0.003894,0.008099,0.007995,0.008053,-0.000289,-0.009464,-0.009913,0.007369,0.007019,0.006452,0.000029,-0.012792,-0.003456
0.030000,0.404255,0.356728,0.439716,0.008469,0.051387,0.087421,0.400005,0.000017,0.017587,0.928334,-0.112888,-0.002091,-41.936409,-41.801743,-42.291576,-41.999702,-41.991444,-42.031822,-0.008813,-0.009537,-0.009996,0.0000045,0.000072,0.000214,0.791318,0.991170,0.618105,-0.796641,-1.253435,-0.904420,0.005508,0.005795,0.005960,-0.000312,-0.004829,-0.011542,0.006773,0.007635,0.008434,0.000341,0.002206,0.003341,0.012018,0.012105,0.011103,0.003613,0.023853,0.000245
0.040000,1.112118,0.639877,1.058957,-0.060093,1.796507,1.933201,0.400031,0.000034,0.016391,1.434288,-0.547514,0.007625,-41.675259,-42.169609,-41.843605,-41.996658,-41.208282,-42.701263,-0.021122,-0.030872,-0.028540,0.000062,-0.048030,-0.049924,1.172989,0.774871,2.210905,-0.785330,4.084098,3.031293,0.004073,0.014073,0.013595,0.001024,-0.021204,-0.014395,-0.004332,0.005221,0.008712,-0.000526,0.029168,0.037061,0.014012,0.013800,0.015968,-0.005414,0.040804,-0.050333
0.050000,0.565833,0.196879,1.527016,-0.028403,1.473756,1.681877,0.400037,0.000025,0.016480,1.086682,-0.931512,0.013858,-42.016365,-42.994164,-42.513611,-41.996342,-42.336948,-44.040443,-0.005597,-0.015546,-0.043740,0.0000026,-0.048843,-0.056893,1.181759,0.323423,1.716099,-0.793881,-0.477456,0.545486,0.006728,0.009927,0.023824,-0.000104,-0.013150,-0.017781,0.004858,0.005771,0.014040,-0.000271,0.004164,0.003791,-0.006404,-0.000158,0.024253,-0.001144,0.024778,-0.057018
0.060000,0.276951,0.166242,1.165436,-0.012704,0.727183,1.178621,0.400030,0.0000043,0.017245,0.594639,-0.999888,0.005558,-41.883305,-42.920727,-41.944016,-41.997849,-42.015388,-44.056583,-0.005952,-0.011245,-0.035137,-0.000011,-0.017408,-0.034872,-0.727418,0.395085,2.027992,-0.792418,-1.350885,-0.732627,0.008828,0.004352,0.024992,0.000407,-0.009477,-0.012099,-0.002010,-0.002629,0.011931,-0.000619,0.021114,0.019248,-0.013183,0.001960,0.015315,0.000256,0.017728,-0.034891
0.070000,0.170807,0.023849,1.103616,-0.006817,0.358294,0.564205,0.400015,0.0000035,0.018011,0.123089,-0.772483,0.004353,-42.038383,-42.815884,-41.938164,-41.999672,-42.619286,-42.456184,-0.002445,-0.006535,-0.038270,-0.000014,-0.009660,-0.018168,1.100945,0.370497,1.525236,-0.792405,0.661490,0.745693,-0.007985,0.000828,0.011562,0.000039,-0.005767,-0.008166,0.001109,0.000435,0.005064,-0.000524,0.008858,0.004611,0.024769,0.002777,0.025500,-0.000348,0.005614,-0.018115
0.080000,0.155368,0.070991,0.299023,-0.006446,0.313427,0.232562,0.400005,0.0000022,0.018254,0.009913,-0.421477,0.005902,-42.048313,-42.807137,-42.445953,-42.000816,-42.466427,-42.346500,-0.002206,-0.004185,-0.008192,0.0000053,-0.009046,-0.007025,1.162444,0.826480,1.642551,-0.789075,0.588216,0.986689,0.001022,0.000455,0.003340,0.000050,-0.003441,-0.002228,0.000751,0.003721,0.007074,-0.000034,0.004086,0.004059,-0.001648,0.004038,-0.001032,-0.000067,-0.002346,-0.006958
0.090000,0.495469,0.303036,0.530965,-0.001043,0.344369,0.413422,0.399995,0.000014,0.018234,0.425870,-0.314751,0.015327,-40.275120,-41.060364,-40.790398,-41.999527,-42.983612,-42.023090,-0.016255,-0.019557,-0.016866,0.000015,-0.008678,-0.009256,3.184426,1.245198,3.738053,-0.788400,-1.510750,1.667359,-0.000454,0.002458,0.002768,-0.000525,0.001191,-0.006967,-0.011796,-0.004486,0.002244,0.000307,0.007426,0.010587,0.015913,0.014517,0.018305,0.001881,-0.008051,-0.009194
0.100000,0.633577,0.312077,0.472348,-0.027282,0.470748,1.221661,0.399979,0.000027,0.018383,0.615189,-0.306184,0.023582,-38.204197,-38.815067,-38.629803,-40.048859,-41.351788,-39.486416,-0.009204,-0.020539,-0.013040,0.000029,-0.020398,-0.036771,5.321783,3.769390,5.512837,-2.737269,-3.500046,-3.177507,0.004071,-0.000028,0.006707,0.000637,-0.003679,-0.007478,0.002690,-0.000093,0.004509,0.000172,-0.012788,0.001373,-0.000141,0.024043,-0.000071,-0.001647,-0.001734,-0.036695
0.110000,0.883815,0.003867,-0.019931,-0.010622,-0.043940,1.296552,0.399964,0.000026,0.018505,0.297398,-0.049607,0.031717,-38.287498,-38.222813,-38.627502,-38.098873,-41.353878,-38.259785,-0.000576,-0.021455,-0.001293,-0.0000073,-0.000793,-0.037748,7.354885,5.587259,7.429743,-4.678276,-5.255802,-3.820803,0.002005,0.012517,0.001672,0.000112,0.000571,-0.011824,-0.002441,0.006568,-0.005734,-0.000308,-0.004432,-0.002235,-0.008511,-0.000302,-0.009496,-0.000579,-0.002518,-0.037763
0.120000,0.788397,0.491170,0.148608,-0.009327,0.181396,1.128361,0.399958,0.000022,0.018644,0.554691,0.194909,0.033414,-38.871029,-36.597775,-38.781647,-36.149517,-41.530815,-37.927975,-0.010918,-0.022757,-0.002418,0.000014,-0.004127,-0.025372,5.460026,7.656588,5.408690,-6.622334,-5.267330,-6.168544,0.012648,0.009171,0.007183,-0.000038,-0.003812,-0.017998,0.009293,-0.008206,0.009368,0.000144,0.006263,0.008503,-0.012836,0.014736,-0.014645,0.001245,0.011916,-0.025212
0.130000,0.640103,0.243367,-0.012586,-0.016356,0.302825,0.877972,0.399959,0.000017,0.018702,0.582823,0.364149,0.040974,-40.765205,-34.961605,-40.625004,-34.198479,-41.328449,-36.391911,-0.000838,-0.014260,0.005974,0.000013,-0.007861,-0.024968,3.368677,10.371315,3.418674,-8.559895,-3.729511,-8.947799,0.005609,0.009649,0.001686,0.000184,-0.009747,-0.008459,0.009528,0.000705,0.013948,-0.000124,0.001558,-0.011744,-0.003989,0.003491,-0.005767,-0.001390,0.018441,-0.025174
0.140000,0.514769,0.461760,0.225871,-0.008178,0.307206,0.442922,0.399964,0.000014,0.018601,0.454169,0.092261,0.038159,-39.015251,-37.155956,-38.977776,-36.148888,-39.254631,-38.793659,-0.021722,-0.004543,-0.012923,0.000268,-0.012509,-0.001258,5.474452,8.859029,5.429564,-6.609317,-5.648122,-7.986952,-0.004004,0.017381,-0.007275,-0.000401,0.003180,-0.015626,-0.019499,0.019677,-0.011182,0.001177,-0.013759,0.026565,0.034482,-0.028972,0.033027,0.001682,-0.019626,-0.001326
0.150000,0.970806,0.143096,0.530317,-0.017199,0.542177,1.115248,0.399966,0.000019,0.018676,0.515191,-0.270975,0.034840,-37.198830,-35.915405,-36.810585,-34.199039,-37.569706,-37.406731,-0.005037,-0.030884,-0.015426,-0.000227,-0.012360,-0.033371,7.572604,7.149514,7.689891,-4.659947,-8.223893,-6.232948,0.001826,0.012645,0.006124,0.000114,-0.006448,-0.015534,-0.000380,-0.006881,0.000404,-0.000435,0.014453,-0.008453,0.000904,0.010162,0.006933,-0.000278,0.002453,-0.033459
0.160000,1.238628,-0.053479,0.491164,-0.013880,0.291807,1.526446,0.399956,0.000020,0.019157,0.446471,-0.324789,0.033366,-35.227055,-34.567947,-34.677952,-32.249447,-35.489231,-34.758579,-0.0000097,-0.029767,-0.015138,-0.000012,-0.010685,-0.044448,9.508853,5.220450,9.635593,-2.697955,-10.391841,-7.483860,-0.000545,0.019020,0.009058,0.000103,-0.004840,-0.021195,-0.001927,0.004205,-0.004597,-0.000518,-0.006398,-0.003466,-0.003591,0.008278,-0.004561,-0.000555,0.003758,-0.044473
0.170000,1.377837,0.005526,0.173590,-0.013856,0.011270,1.550911,0.399935,0.000019,0.019945,0.238401,-0.072330,0.032522,-33.266613,-34.598949,-32.911060,-30.300444,-33.609646,-33.672504,-0.001011,-0.035120,-0.006021,-0.0000069,-0.002259,-0.041578,11.409859,4.744550,11.517394,-0.751579,-12.375885,-5.626761,0.000198,0.017413,0.003541,0.000115,-0.000850,-0.023712,-0.001069,0.001287,-0.005517,-0.000259,-0.003465,-0.002574,-0.001944,0.011916,-0.004234,-0.000480,0.000527,-0.041558
0.180000,0.439259,0.251393,-0.057871,-0.003451,-0.018595,0.418236,0.399925,0.000024,0.020387,0.228726,0.268818,0.030311,-31.385208,-36.414093,-30.941614,-32.250378,-31.667084,-35.703690,-0.005612,-0.006453,0.001251,0.000245,0.000945,-0.002802,13.509759,3.297998,13.452085,1.198452,-14.370568,-4.365386,0.003230,0.005352,-0.002383,-0.000018,-0.000170,-0.007181,0.000915,0.007019,0.003435,0.000354,0.003055,0.016700,0.005917,0.006782,0.006501,0.000359,0.002657,-0.002842
0.190000,1.044647,0.118829,-0.047529,-0.011567,0.051742,0.984353,0.399915,0.000033,0.020524,0.394061,0.454388,0.026519,-29.410410,-35.223454,-28.987593,-30.300331,-29.767330,-35.231758,-0.004172,-0.031025,0.000877,-0.000226,-0.001122,-0.026923,15.593349,2.088317,15.442648,1.201294,-16.345650,-2.014144,0.002215,0.011497,-0.001149,0.000067,-0.001403,-0.013700,-0.004844,-0.014775,0.003849,-0.000170,0.003263,-0.010430,-0.000092,0.008544,0.001432,-0.000102,0.000959,-0.026813
