Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000028,0.0000016,0.000000033,-0.00000034,0.00000046,0.0000013,0.400000,-0.0000000050,0.021764,0.000001,-0.00000053,0.000035,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,-0.000000030,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789726,-0.789728,0.000000052,-0.0000000045,0.0000000022,0.0000000049,-0.000000016,-0.000000012,-0.00000015,0.0000018,-0.00000014,0.000000021,-0.0000017,0.000000031,0.00000022,0.00000088,0.000001,-0.000000030,0.0000014,-0.0000000098
0.020000,-0.013265,-0.012377,-0.013450,-0.000386,0.005626,-0.022207,0.399999,0.0000002,0.020049,0.001781,-0.001222,0.000941,-41.959648,-41.903324,-42.011665,-42.000130,-41.987370,-41.944748,0.003481,0.003343,0.003363,-0.000653,-0.003358,-0.003348,0.776429,0.745447,0.784980,-0.782938,-0.745371,-0.842790,-0.002656,-0.002729,-0.002658,-0.000496,-0.002595,0.004308,0.008570,0.008080,0.008135,-0.001064,-0.009410,-0.009788,0.004152,0.004125,0.003730,-0.000450,0.004780,-0.003354
0.030000,0.398894,0.342049,0.433988,0.021604,0.057788,0.071755,0.400004,0.000018,0.017591,0.847438,-0.115796,-0.001653,-41.888733,-42.219139,-41.896427,-41.998623,-41.990952,-41.949306,-0.008889,-0.009377,-0.009872,0.000037,-0.000148,-0.000094,0.894646,0.802930,0.737278,-0.793730,-1.195553,-0.730617,0.004782,0.005281,0.005420,-0.001214,-0.004831,-0.004808,0.006279,0.008675,0.009409,0.000615,0.001449,0.001957,0.013784,0.014175,0.014044,0.007937,0.025854,-0.000078
0.040000,0.810928,0.573891,1.069747,-0.108946,1.785007,1.801487,0.400032,0.000031,0.016264,1.352113,-0.484785,0.009698,-42.633617,-42.977913,-42.566734,-41.998695,-43.249012,-42.433105,-0.017139,-0.022328,-0.027161,0.000194,-0.049054,-0.045558,0.883663,0.905328,1.361612,-0.794372,-1.291182,-3.268462,0.002858,0.006276,0.014840,0.003301,-0.007666,-0.020874,0.001719,0.004171,0.009660,-0.001155,0.024877,0.036387,0.014584,0.018087,0.011777,-0.011645,0.002777,-0.045871
0.050000,0.675914,0.379877,1.392693,-0.054816,1.513222,1.578095,0.400044,0.000026,0.016236,1.224858,-0.907427,0.012360,-42.470371,-42.940342,-43.050148,-42.000324,-43.746037,-45.142239,-0.012148,-0.023053,-0.042677,0.000089,-0.041415,-0.050592,-1.050693,0.687773,0.378912,-0.760218,0.741540,-1.042189,0.017316,0.014645,0.019342,0.000523,-0.023466,-0.012124,0.002169,-0.000082,0.007372,-0.000077,0.023468,0.006762,-0.018506,0.006542,0.031662,-0.000772,0.056396,-0.050818
0.060000,0.510136,0.100073,1.191008,-0.020022,0.774108,1.272980,0.400039,0.000012,0.016868,0.434176,-1.126075,0.002069,-42.384804,-42.690300,-43.490765,-42.003017,-43.197350,-42.500877,-0.006000,-0.014304,-0.033969,-0.000072,-0.028922,-0.042098,0.967346,1.077695,0.903689,-0.741514,-0.149948,-3.135703,-0.006119,0.012530,0.017899,-0.001162,-0.006853,-0.013632,-0.000752,0.008909,0.018438,-0.000975,-0.001044,0.010916,0.020078,-0.015632,0.003676,0.000399,0.002181,-0.042078
0.070000,0.307509,-0.037611,0.954510,-0.012497,0.279610,0.781637,0.400025,0.000005,0.017617,0.160812,-0.972655,-0.002634,-42.400681,-43.288368,-42.301117,-42.010811,-43.015266,-43.079811,0.000878,-0.011157,-0.034263,-0.000111,-0.005718,-0.025924,0.916092,0.597860,1.357323,-0.746688,0.383501,-0.763626,-0.000883,0.000545,0.007044,0.000142,-0.003880,-0.008512,-0.001252,0.003033,0.004609,-0.001258,0.013123,0.006942,-0.000571,0.022905,0.022408,-0.000492,0.005153,-0.025895
0.080000,0.196106,0.126971,0.484124,-0.009047,0.143302,0.660986,0.400009,-0.0000023,0.018014,-0.253853,-0.542425,-0.007081,-42.346493,-43.601524,-43.175926,-42.009975,-42.924305,-41.547279,-0.004081,-0.004250,-0.015817,-0.000057,-0.004768,-0.017455,0.954232,0.483168,1.791886,-0.741635,-0.334849,-1.232236,0.000859,0.007605,0.004925,0.000063,-0.000971,-0.012160,-0.000341,0.003438,0.004407,-0.000732,0.002108,0.012829,0.000847,-0.015597,0.003618,0.000245,-0.001527,-0.017385
0.090000,0.455554,0.429718,0.507506,-0.014749,0.242018,0.429925,0.399994,0.000014,0.018190,-0.122080,-0.347963,-0.001489,-40.720024,-41.420971,-41.561687,-42.006165,-42.876801,-41.471996,-0.019057,-0.021641,-0.015056,0.000151,-0.005235,-0.010333,2.878105,2.588915,3.888864,-0.738444,0.257006,-0.809748,0.001183,-0.005576,0.003050,-0.000283,-0.004657,-0.000944,-0.008501,-0.009576,0.005671,0.000895,0.008520,0.010386,0.010374,0.030068,0.011711,0.002193,0.007664,-0.010205
0.100000,0.472303,0.311097,0.375011,-0.046152,0.588881,0.940785,0.399977,0.000028,0.018392,0.161339,-0.374049,0.006953,-39.201412,-39.740944,-39.829292,-40.054192,-41.315773,-40.949013,-0.009836,-0.013097,-0.010936,0.000128,-0.023236,-0.025608,4.949729,4.153220,6.452507,-2.663827,-1.969596,-2.594662,0.003590,0.005374,0.004511,0.001931,0.001262,-0.010065,0.001276,0.005453,0.003456,0.000546,-0.010455,0.008901,0.000778,0.001187,0.000670,-0.002619,-0.020698,-0.025590
0.110000,0.391093,0.009414,-0.003943,-0.014839,-0.021261,0.803725,0.399964,0.000031,0.018249,-0.034725,-0.235594,0.013048,-39.110909,-37.691338,-39.922047,-38.105915,-41.334507,-39.508102,-0.000378,-0.012858,-0.000698,-0.000026,-0.000735,-0.023648,7.063591,6.165912,8.511973,-4.603442,-3.590577,-4.898104,0.001369,0.006960,0.001495,0.000325,0.000363,-0.007027,-0.000083,-0.009327,-0.001666,-0.000341,-0.002657,0.000358,-0.006031,-0.007892,-0.006977,-0.001454,-0.002222,-0.023674
0.120000,0.834800,0.507491,0.269582,-0.022622,0.293037,1.127082,0.399961,0.000029,0.018047,0.241405,-0.106392,0.015860,-39.745724,-36.141335,-39.609776,-36.150337,-41.231243,-38.266876,-0.011282,-0.020529,-0.005313,0.000067,-0.005599,-0.028760,5.621929,8.760537,7.060804,-6.539294,-4.129678,-6.366093,0.012562,0.007281,0.009728,-0.000037,-0.010854,-0.017113,0.011126,0.014577,0.011788,-0.0000065,0.011815,0.005486,-0.014512,0.017114,-0.021631,0.001733,0.025555,-0.028937
0.130000,0.800598,0.222222,0.162402,-0.032713,0.520207,1.023448,0.399963,0.000024,0.018053,0.093114,-0.053453,0.018127,-41.721207,-34.717705,-41.607147,-34.195747,-41.007187,-36.955212,-0.001331,-0.019032,-0.000090,0.000047,-0.016339,-0.026266,4.000059,10.237988,5.119801,-8.436677,-3.144201,-9.309354,0.005622,0.013666,0.004310,0.000455,-0.006773,-0.014251,0.008637,0.003657,0.007107,-0.000252,-0.004070,0.003031,-0.006526,-0.006316,-0.003985,-0.001552,-0.004315,-0.026323
0.140000,0.700641,0.283577,0.472901,-0.020477,0.688044,0.465990,0.399967,0.000022,0.018140,-0.126335,-0.290678,0.007280,-39.625542,-36.875641,-40.448708,-36.147831,-38.753899,-39.438824,-0.017183,-0.008876,-0.019282,0.001417,-0.021425,-0.005221,6.126106,9.568686,7.246994,-6.488420,-5.140640,-7.576942,-0.005624,0.019116,-0.003291,-0.001322,-0.001386,-0.014739,-0.017290,0.019114,-0.008255,0.002774,-0.001771,0.019348,0.028032,-0.029567,0.029212,0.003584,-0.023612,-0.005470
0.150000,0.952552,0.069464,0.615211,-0.028860,0.647178,0.969565,0.399965,0.000026,0.018444,-0.323575,-0.660313,-0.002120,-37.711956,-36.422115,-38.230545,-34.196293,-36.517574,-38.012009,-0.003398,-0.029296,-0.017552,-0.001239,-0.018144,-0.030097,7.985584,8.791054,9.007545,-4.509956,-6.860967,-6.604474,0.001466,0.012294,0.008999,0.000242,-0.009774,-0.014747,0.000012,0.001616,0.006212,-0.001875,0.008221,0.001806,-0.003686,-0.000582,-0.005478,0.000031,0.002515,-0.030049
0.160000,0.993228,-0.046965,0.568366,-0.024218,0.383523,1.220948,0.399954,0.000027,0.019038,-0.620512,-0.762824,-0.010912,-35.777531,-35.934185,-36.693687,-32.249050,-34.655979,-36.857346,0.000357,-0.026058,-0.016764,-0.000064,-0.011975,-0.035983,9.969891,6.834779,11.329590,-2.544812,-8.954202,-4.153062,-0.000723,0.014334,0.008233,0.000282,-0.005447,-0.017419,-0.000564,0.009190,0.001978,-0.001031,0.000200,0.005036,-0.000980,-0.008800,-0.006408,-0.000576,-0.004010,-0.036142
0.170000,1.172357,-0.038962,0.218515,-0.010931,0.037859,1.141881,0.399937,0.000032,0.019729,-0.685051,-0.587587,-0.014815,-33.837807,-34.676395,-34.746613,-30.298391,-32.682152,-35.595905,-0.000333,-0.031951,-0.008626,-0.000063,-0.001205,-0.028185,11.704376,6.249951,13.484734,-0.592576,-10.942038,-3.764567,-0.001268,0.016181,0.003453,-0.000073,-0.001756,-0.016293,-0.002503,0.007835,-0.005493,-0.000819,0.000697,0.016008,0.003836,-0.007089,-0.002193,0.000950,0.004492,-0.028020
