Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000026,0.0000016,0.000000042,-0.00000034,0.00000044,0.0000013,0.400000,-0.0000000050,0.021764,0.0000009,-0.00000052,0.000035,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,-0.000000030,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789729,-0.789728,0.000000042,-0.000000003,0.0000000027,0.0000000050,-0.000000012,-0.00000001,-0.00000014,0.0000018,-0.00000014,0.000000021,-0.0000017,0.00000003,0.00000024,0.00000088,0.000001,-0.00000003,0.0000014,-0.0000000098
0.020000,-0.023600,-0.023015,-0.023904,0.004887,-0.011198,-0.013330,0.399999,0.000000083,0.020050,0.016072,-0.001757,0.001015,-41.959034,-41.901058,-42.075405,-41.999939,-41.936733,-41.991009,0.003513,0.003390,0.003491,-0.000662,-0.003386,-0.003308,0.654305,0.657447,0.627558,-0.791764,-0.609570,-0.680737,-0.003285,-0.003286,-0.003157,-0.000663,0.003941,0.004143,0.008489,0.008105,0.008405,-0.001064,-0.009685,-0.009463,0.006976,0.006726,0.006057,0.000528,-0.011774,-0.003307
0.030000,0.431714,0.373216,0.452919,-0.000449,0.068806,0.082789,0.400005,0.000018,0.017597,0.884063,-0.119579,-0.002205,-42.151314,-42.249146,-42.040825,-41.998123,-41.835197,-41.884670,-0.009130,-0.009787,-0.009863,0.000074,-0.000141,-0.000238,0.810252,0.730612,0.934834,-0.805307,-0.756128,-1.166469,0.005853,0.006369,0.006360,0.000643,-0.011190,-0.011441,0.006778,0.009005,0.010033,0.000646,0.001794,0.001857,0.010770,0.010680,0.010501,0.003503,0.040756,-0.000217
0.040000,0.798770,0.691966,1.203442,-0.094057,1.585413,2.088843,0.400028,0.000035,0.016354,1.390445,-0.396300,0.005763,-41.872749,-41.901932,-41.516644,-42.000614,-42.262012,-40.962204,-0.021689,-0.022627,-0.035027,0.000157,-0.041305,-0.056350,1.347077,1.572419,2.048948,-0.831324,-2.991652,2.339750,0.004213,0.011876,0.008570,0.001622,-0.012129,-0.016412,-0.003467,0.001140,0.000660,-0.000918,0.026765,0.027737,0.017554,0.004531,0.035884,-0.008198,0.017004,-0.056501
0.050000,0.639083,0.353955,1.510806,-0.057244,1.232355,1.720222,0.400033,0.000035,0.016461,1.351858,-0.643493,0.015023,-41.726574,-42.784027,-40.541798,-42.004372,-44.332958,-43.625484,-0.012488,-0.020984,-0.046259,0.000038,-0.040112,-0.051258,1.011223,1.697329,3.415996,-0.764982,-1.436474,-1.570300,0.007298,0.003977,0.021895,0.000740,-0.012907,-0.016212,-0.001864,0.001435,0.004329,-0.000421,-0.000736,0.009478,-0.000703,0.029784,0.026749,-0.002482,0.031161,-0.051722
0.060000,0.262394,0.337072,1.009087,-0.001679,0.615960,1.426900,0.400028,0.000020,0.017205,1.174824,-0.670484,0.008070,-41.571880,-43.358452,-42.234852,-42.003433,-44.165375,-44.164036,-0.009621,-0.008559,-0.030493,-0.000090,-0.017376,-0.043344,-1.054875,0.459754,-0.497151,-0.758063,-1.151683,1.018409,0.011546,0.011019,0.020369,-0.001766,-0.000924,-0.018127,0.004828,-0.000387,0.005872,-0.000803,0.010289,0.011326,-0.004216,-0.010913,0.008915,0.004169,-0.000129,-0.043265
0.070000,0.069436,0.230414,0.525761,-0.004434,0.194838,0.489288,0.400020,0.000013,0.017786,1.010858,-0.544779,0.011207,-41.468170,-43.301285,-42.970470,-42.005703,-44.077744,-43.957199,-0.007742,-0.003492,-0.011646,-0.000034,-0.005385,-0.012386,-0.917683,0.439810,0.191136,-0.757131,-1.005411,-1.274493,0.000930,-0.000967,0.005751,-0.000143,-0.003404,-0.000410,0.000490,0.001563,0.015164,-0.000814,0.003480,0.011395,0.009710,0.007585,0.013850,0.000981,0.008332,-0.012433
0.080000,-0.041456,0.367904,0.648073,-0.024426,0.406564,0.693948,0.400012,0.0000057,0.018040,0.642611,-0.496945,0.004796,-41.315056,-43.157944,-41.440117,-42.004803,-42.288242,-43.212048,-0.010187,0.000703,-0.022779,0.000064,-0.015743,-0.023257,-0.780571,0.386944,-1.352094,-0.746471,-1.359496,-1.551730,0.003758,-0.000155,0.006450,0.000269,-0.003016,-0.006610,0.006633,0.001303,-0.000733,0.000329,-0.003631,0.000325,0.002809,-0.003353,0.009755,-0.000280,-0.000148,-0.023100
0.090000,0.093618,0.575385,1.007071,-0.028364,0.148248,0.645174,0.400003,0.000016,0.018253,0.459808,-0.457893,0.005889,-40.308170,-41.154861,-38.999996,-42.003502,-42.219196,-42.941425,-0.022177,-0.010691,-0.031332,0.000087,-0.005381,-0.012714,1.585396,2.232734,2.650332,-0.755512,-1.536058,-0.631674,-0.002635,-0.007721,0.003640,0.000277,-0.001781,-0.016522,-0.005830,-0.013180,0.004525,0.000264,0.001650,0.020597,0.024187,0.022922,0.025911,-0.001119,-0.000314,-0.012707
0.100000,0.137500,0.132927,0.952865,-0.034019,0.684344,0.836548,0.399982,0.000027,0.018525,0.803216,-0.334564,0.016790,-38.337212,-39.278320,-37.599525,-40.053043,-40.731274,-40.566143,-0.005170,-0.005810,-0.027380,0.00000033,-0.020349,-0.032071,3.524241,4.263021,4.271573,-2.703215,-3.649642,-3.267942,0.000853,0.000820,0.011982,0.001722,-0.007304,0.000065,-0.000863,-0.002285,0.004071,-0.000390,0.002310,-0.015294,0.004083,0.005096,0.011523,-0.002501,0.008806,-0.032044
0.110000,0.404463,0.208662,0.221394,-0.018738,0.147898,0.835009,0.399968,0.000030,0.018615,0.755931,0.011029,0.021312,-38.240856,-37.900112,-37.924904,-38.103497,-40.907501,-39.159210,-0.004860,-0.009790,-0.004701,-0.0000089,-0.004697,-0.022818,5.694875,6.221155,6.255415,-4.646493,-5.714707,-4.556870,0.002719,0.005245,0.003676,0.000280,-0.001734,-0.010017,0.004447,0.003958,0.003264,-0.000315,0.000059,0.002077,0.001001,0.003326,-0.001967,-0.000953,-0.000215,-0.022719
0.120000,0.456889,0.591998,0.278406,-0.028357,0.463676,0.935805,0.399965,0.000028,0.018698,0.959815,0.179942,0.024774,-38.004616,-36.121925,-38.378910,-36.146767,-41.511681,-37.760410,-0.014924,-0.013080,-0.005123,0.000129,-0.010406,-0.023552,4.299194,8.212509,4.506422,-6.559491,-4.083508,-7.664984,0.014353,0.006063,0.010252,0.000117,-0.014367,-0.011707,0.001913,-0.001950,0.008341,0.000622,0.008033,0.003214,-0.011772,0.009270,-0.017501,0.000455,0.033971,-0.023480
0.130000,0.458176,0.371335,0.060746,-0.033310,0.468217,0.825657,0.399970,0.000018,0.018774,0.828840,0.126933,0.030648,-40.133171,-34.455433,-40.258400,-34.196007,-41.329006,-36.331795,-0.003884,-0.010628,0.003710,0.000090,-0.013810,-0.021886,1.920239,10.495187,2.591674,-8.453515,-2.316632,-9.670529,0.008724,0.007486,0.002708,0.000520,-0.006196,-0.010790,0.009726,0.003117,0.012545,0.000201,-0.002392,-0.002250,-0.005426,0.001945,-0.004907,-0.002057,0.002325,-0.022035
0.140000,0.388450,0.408948,0.618350,-0.015295,0.553524,0.441411,0.399979,0.000014,0.018818,0.519369,-0.212635,0.024968,-38.536705,-36.314194,-38.734577,-36.147354,-39.718670,-38.763317,-0.019215,-0.001371,-0.023549,0.001391,-0.017146,-0.003395,3.922550,8.690050,5.053439,-6.504431,-4.439804,-8.071961,-0.004748,0.015349,-0.002647,-0.001402,0.001045,-0.016241,-0.015610,0.019248,-0.011496,0.002578,-0.001885,0.022380,0.033327,-0.027392,0.035820,0.003432,-0.018487,-0.003612
0.150000,0.794325,0.109366,0.720140,-0.022409,0.474535,1.065658,0.399980,0.000017,0.019040,0.475057,-0.552513,0.018793,-36.689297,-34.808304,-37.187565,-34.198975,-38.460403,-38.465988,-0.004927,-0.025686,-0.020124,-0.001292,-0.013688,-0.032137,5.782629,7.293413,6.997611,-4.550576,-6.598469,-6.901830,0.000977,0.009815,0.009613,0.000129,-0.006337,-0.015286,-0.001191,-0.003711,0.003941,-0.002034,0.004001,-0.001991,0.001444,0.012837,0.005853,0.000154,0.006297,-0.032278
0.160000,1.044735,-0.047965,0.466797,-0.019739,0.295505,1.117956,0.399971,0.000023,0.019471,0.528199,-0.608661,0.014859,-34.705791,-34.334408,-35.047413,-32.250141,-36.648117,-37.107029,-0.000036,-0.026729,-0.013991,-0.000063,-0.009473,-0.030168,7.683307,6.442317,9.423174,-2.590500,-8.699734,-5.026153,-0.001249,0.013631,0.006726,0.000172,-0.005104,-0.015999,-0.001869,0.005911,-0.001387,-0.000886,-0.000672,0.007213,0.000352,0.017204,0.003194,-0.000705,0.005900,-0.030115
0.170000,1.143441,-0.035418,0.180755,-0.019201,0.057800,1.358889,0.399956,0.000026,0.020009,0.426424,-0.372997,0.005499,-32.755795,-33.995216,-33.292442,-30.300819,-34.813408,-34.540806,-0.000062,-0.026558,-0.006389,-0.000073,-0.003279,-0.039014,9.616468,3.910912,11.586951,-0.614283,-10.747517,-4.074771,-0.000376,0.018541,0.002993,0.000211,-0.001189,-0.018785,-0.002462,0.010456,-0.003271,-0.000742,-0.003106,0.001324,-0.001552,0.002091,-0.000639,-0.000711,0.000990,-0.039048
0.180000,0.514840,0.353115,-0.055384,-0.027869,-0.035148,0.790043,0.399948,0.000030,0.020322,0.439377,-0.002296,0.000717,-30.897249,-36.491680,-31.350937,-32.247818,-32.842148,-37.463814,-0.007456,-0.007792,0.000989,0.001335,0.000448,-0.013501,11.419776,2.666806,13.479215,-0.603134,-12.687676,-1.172301,0.004460,0.007531,-0.001010,0.001647,0.000175,-0.012619,0.003992,0.009483,0.001376,0.001375,0.000270,0.017002,0.007098,0.006178,0.000459,-0.001455,0.001151,-0.013508
0.190000,1.012153,0.365282,-0.045698,-0.014906,0.126637,1.137208,0.399941,0.000036,0.020531,0.492013,0.092410,-0.005817,-29.309996,-34.090527,-29.389740,-30.295553,-30.873394,-36.094868,-0.008877,-0.031189,0.001156,-0.001186,-0.002941,-0.031730,13.798486,1.416499,15.342408,1.355219,-14.704076,2.372808,0.006197,0.009980,-0.000783,-0.001360,-0.002471,-0.013441,-0.000035,-0.009554,0.006086,-0.000865,0.004629,-0.005233,0.002637,0.012923,-0.000323,0.001288,0.001502,-0.031584
0.200000,1.536465,-0.046245,-0.072101,-0.037258,-0.066042,1.388803,0.399936,0.000046,0.020820,0.682248,0.371606,-0.002187,-29.299873,-31.504303,-29.274570,-28.345242,-30.882246,-34.922916,0.000261,-0.040200,0.000745,0.000013,0.000764,-0.038766,15.688699,3.273600,17.210848,-0.572352,-16.697821,-1.035492,-0.000253,0.010393,-0.001385,0.001843,0.000350,-0.015970,-0.001095,-0.015152,0.000411,-0.000084,0.000172,-0.016109,-0.002381,0.037712,0.001407,-0.002301,-0.001673,-0.038663
0.210000,1.270961,-0.027210,-0.065469,0.000906,-0.019527,1.072397,0.399935,0.000054,0.021134,1.516905,0.911176,-0.002062,-31.270113,-31.240910,-31.235155,-26.396601,-32.849598,-34.463696,0.007076,-0.030475,0.007092,-0.000119,0.006713,-0.025548,13.712916,3.548447,15.213782,-2.515807,-15.010403,-3.816779,0.006195,0.011683,0.005726,-0.000329,-0.009089,-0.007571,0.013477,-0.018283,0.011311,-0.001047,0.012897,-0.014359,-0.019999,0.040387,-0.020132,0.001417,0.028220,-0.025534
0.220000,0.510876,0.008904,-0.012201,-0.017417,0.127749,0.730021,0.399933,0.000051,0.021006,1.773302,1.645599,-0.010966,-33.245361,-29.841728,-33.180260,-24.446110,-34.761826,-32.220600,-0.000566,-0.009770,-0.000404,-0.000023,-0.003233,-0.019288,11.818385,5.977618,13.362637,-4.459765,-13.049224,-6.024865,0.001394,0.007868,0.000904,0.000386,-0.000772,-0.007850,-0.001584,-0.009833,-0.002791,0.000405,-0.002327,-0.023134,-0.007937,0.009591,-0.008342,-0.001661,-0.004303,-0.019179
