Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m^2/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m/s^2)
0.000000,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000021,0.0000014,0.0000001,0.0000006,0.0000012,0.400000,-0.0000000050,0.021764,-0.000000090,-0.00000085,0.000036,-42.000004,-42.000004,-42.000004,-42.000000,-42.000000,-0.000000030,0.000000060,-0.000000015,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789728,0.000000048,-0.00000000036,0.0000000054,-0.000000016,-0.0000000087,-0.00000014,0.0000018,-0.00000014,-0.0000017,0.000000026,0.00000041,0.00000086,-0.0000000024,0.0000013,-0.000000084
0.020000,-0.014262,-0.013936,-0.015110,0.007356,-0.023058,0.399999,0.0000001,0.020049,0.012726,-0.001455,0.001208,-41.954041,-41.909203,-41.958546,-42.041023,-41.945377,0.003451,0.003377,0.003465,-0.003491,-0.003366,0.867133,0.838775,0.806809,-0.742864,-0.659260,-0.002833,-0.002748,-0.002689,-0.002675,0.004696,0.008412,0.008224,0.008434,-0.009863,-0.009885,0.004707,0.004271,0.003461,0.005161,-0.015129
0.030000,0.294245,0.383613,0.367003,0.023258,0.068619,0.400004,0.000018,0.017570,0.885392,-0.136916,-0.002520,-42.166470,-41.994400,-41.870235,-42.029640,-41.946980,-0.009670,-0.007943,-0.008933,0.000249,0.000175,0.869456,0.886996,0.762768,-0.935114,-0.703223,-0.000234,0.002692,0.002868,-0.002866,-0.010595,0.007787,0.005436,0.007040,0.002506,0.002983,0.021829,0.021058,-0.008948,0.013299,0.033507
0.040000,0.772408,0.657144,1.155288,1.732139,1.835168,0.400033,0.000034,0.016208,1.391513,-0.545361,0.010460,-41.895695,-43.018871,-42.478542,-44.462387,-42.461140,-0.020426,-0.020380,-0.029882,-0.043903,-0.046784,1.320166,1.620722,1.758610,-1.364050,-3.539852,0.009658,0.010885,0.020081,-0.013561,-0.015516,-0.001960,0.008164,0.010727,0.032783,0.036758,0.005576,0.010308,-0.030066,0.026704,0.032235
0.050000,0.630978,0.417434,1.496201,1.278360,1.969260,0.400043,0.000028,0.016223,1.419381,-0.946334,0.011401,-41.802868,-43.169243,-42.979111,-43.862110,-41.426987,-0.013950,-0.019567,-0.045916,-0.038424,-0.062401,-0.598212,-0.880515,-0.444047,1.225473,-5.657609,0.013481,0.019163,0.023791,-0.013583,-0.022186,0.001276,0.002271,0.008484,0.013775,0.013179,-0.009328,-0.009040,-0.045885,0.034634,0.053057
0.060000,0.290341,0.181055,1.305211,0.723791,1.454228,0.400031,0.000011,0.017011,0.529794,-1.012259,-0.003636,-41.708561,-42.908047,-43.171364,-42.491203,-43.933422,-0.005714,-0.012813,-0.037057,-0.029092,-0.046221,-0.320448,1.355820,1.480375,1.684598,2.408598,0.002877,-0.001960,0.022617,-0.006618,-0.013317,0.001395,-0.004084,0.016032,-0.007275,0.017385,-0.003694,0.019298,-0.037144,0.003830,0.010259
0.070000,0.129348,0.093063,0.616398,0.176763,0.631456,0.400017,0.0000012,0.017731,0.656325,-0.712102,0.004705,-41.596310,-43.328255,-43.173992,-42.295586,-43.828171,-0.004099,-0.003931,-0.017808,-0.006235,-0.015833,-0.178354,1.457945,-0.750855,-1.695128,-1.273577,-0.001778,0.001204,0.011952,0.002644,-0.003918,0.000264,0.006166,0.009834,0.000809,0.016713,0.012571,0.011984,-0.017863,-0.006587,0.004407
0.080000,0.031233,0.217675,0.353250,0.175342,0.536645,0.400000,-0.0000066,0.017952,0.098869,-0.309243,-0.002865,-41.761723,-43.016174,-43.009869,-42.646122,-42.308960,-0.004316,-0.001666,-0.012264,-0.005102,-0.019407,-0.474816,1.416281,1.336477,-1.334480,-1.152173,0.004912,0.000908,-0.002791,-0.001484,-0.003674,0.006722,-0.002042,0.001907,0.003968,-0.004243,-0.001329,-0.003954,-0.012272,-0.002060,-0.006851
0.090000,0.394651,0.601460,0.530126,0.277432,0.524405,0.399991,0.0000053,0.017975,0.474204,-0.333747,0.004634,-39.944901,-40.887009,-41.311764,-42.533325,-43.039974,-0.026011,-0.015864,-0.020049,-0.005353,-0.011272,1.731808,1.976274,3.264229,-1.884772,-1.646181,-0.002899,0.007540,0.001724,-0.004763,-0.006307,-0.013515,-0.004969,-0.002452,0.012610,0.015573,0.028863,-0.003453,-0.019927,0.012616,0.012470
0.100000,0.414075,0.282057,0.585843,0.691510,0.817278,0.399979,0.000013,0.018128,0.652114,-0.571975,0.017693,-37.893597,-39.530773,-39.762089,-40.256531,-42.367725,-0.007297,-0.012934,-0.015043,-0.022521,-0.023765,3.839386,4.111965,5.895191,-3.674476,-3.317312,0.004064,-0.001707,0.008321,-0.006025,-0.008351,0.005452,0.004563,0.010512,-0.000414,0.006996,-0.003201,0.020204,-0.015023,-0.001918,0.001843
0.110000,0.623761,0.070017,0.184709,0.245529,0.764316,0.399976,0.000015,0.018088,0.423635,-0.700016,0.021561,-37.766560,-37.300739,-40.143356,-40.166874,-40.059086,-0.001579,-0.016522,-0.004496,-0.007150,-0.023006,5.905873,6.207932,7.763794,-5.670935,-5.573343,0.001042,0.007878,0.002863,-0.002922,-0.007992,0.005386,0.009893,0.005995,0.003988,0.005275,-0.001419,0.003462,-0.004501,0.000690,0.001019
0.120000,0.749304,0.299878,0.402458,0.467599,1.117004,0.399975,0.0000082,0.018157,0.381937,-0.800487,0.027885,-38.207851,-36.452572,-40.720856,-40.830559,-37.599541,-0.006640,-0.020307,-0.009648,-0.011492,-0.031562,4.010031,8.551669,5.950652,-3.983780,-8.460630,0.011637,0.009759,0.012800,-0.014160,-0.015472,0.007632,0.009220,0.009436,0.011728,0.013347,-0.023753,0.007814,-0.009712,0.027440,0.012178
0.130000,0.644823,0.092655,0.506640,0.284500,1.111913,0.399974,-0.0000043,0.018369,0.032616,-0.744929,0.028498,-40.154873,-34.214066,-41.395973,-40.680286,-36.222164,0.002335,-0.017177,-0.014834,-0.009538,-0.031383,2.097305,11.782623,4.474676,-2.147331,-9.628088,0.002935,0.010004,0.007434,-0.004206,-0.016803,0.010254,0.007007,0.003598,-0.000299,0.009378,-0.003447,-0.002806,-0.014908,-0.002810,0.004469
0.140000,0.388466,0.346137,0.669612,0.443464,0.445598,0.399970,-0.0000028,0.018609,-0.138680,-0.743982,0.018930,-38.021183,-36.488018,-39.810432,-38.966179,-38.635239,-0.018789,-0.002708,-0.022212,-0.013946,-0.002261,4.204637,10.329022,6.347759,-4.318534,-8.385213,-0.006909,0.014302,-0.000565,0.001484,-0.016120,-0.014319,0.017507,-0.000715,0.002934,0.029466,0.031805,-0.027019,-0.022285,-0.021171,0.024976
0.150000,0.696766,0.223235,0.559750,0.487788,1.046570,0.399962,0.0000015,0.018949,-0.090531,-0.860822,0.013570,-36.215973,-35.035419,-38.649429,-36.806313,-37.451378,-0.006919,-0.023574,-0.014578,-0.014701,-0.032993,6.147580,9.407821,8.309062,-6.556387,-6.591891,0.002861,0.009848,0.008686,-0.005803,-0.015452,0.003253,0.002904,0.012412,0.006582,0.004954,-0.001311,-0.000720,-0.014657,-0.001045,-0.002112
0.160000,0.986970,0.086747,0.184151,0.251918,1.164210,0.399949,-0.00000085,0.019442,-0.356216,-0.839681,0.008330,-34.238808,-34.453720,-36.637218,-35.078934,-34.989300,-0.002627,-0.023120,-0.007815,-0.007688,-0.031917,8.141641,8.124346,10.359048,-8.636362,-5.683748,0.001693,0.015567,0.003336,-0.004096,-0.015368,0.003086,0.014770,-0.005978,0.001843,0.011479,-0.004780,-0.003435,-0.007868,-0.000615,-0.016380
0.170000,1.168765,0.170506,0.110861,-0.035178,1.342889,0.399935,-0.00000089,0.020045,-0.517685,-0.716087,0.000649,-32.333584,-32.013634,-34.794785,-33.097935,-35.003727,-0.005469,-0.030117,-0.003702,-0.000171,-0.032926,10.112969,6.522066,12.427118,-10.515593,-3.514884,0.001947,0.017927,0.000703,-0.000672,-0.021429,0.000129,0.012485,0.003624,-0.000729,0.020575,0.000379,-0.008003,-0.003733,0.004485,-0.008288
0.180000,0.808712,0.101909,-0.072241,-0.017862,0.607464,0.399929,0.000010,0.020384,-0.176436,-0.516660,0.000442,-30.362551,-33.696621,-32.839375,-31.139540,-37.207294,-0.003007,-0.014581,0.001039,0.000410,-0.009301,12.060147,4.533934,14.446397,-12.444254,-2.120434,0.000505,0.013579,-0.002863,-0.000716,-0.011396,0.000106,0.015066,0.000989,0.000796,0.020493,0.005182,-0.003258,0.001082,0.005250,0.006205
0.190000,1.353858,0.011619,-0.045943,0.220216,1.206088,0.399918,0.000020,0.020650,0.100779,-0.388004,-0.002758,-28.382605,-31.144123,-30.887472,-29.136480,-34.693336,-0.000926,-0.037987,0.000416,-0.005433,-0.036702,14.017106,3.583937,16.374012,-14.584587,-1.429441,0.000751,0.016505,-0.000108,-0.003460,-0.013783,0.001176,0.002391,0.000987,0.003875,-0.003595,-0.002813,0.006890,0.000489,-0.002750,-0.007402
0.200000,1.895395,-0.082085,-0.102458,-0.062958,1.669322,0.399909,0.000033,0.021205,0.516183,0.025876,-0.001663,-28.366510,-30.170803,-30.882950,-29.220581,-33.640064,0.000903,-0.046032,0.000958,0.000473,-0.044360,15.890954,2.865947,18.137213,-16.535324,2.220139,-0.002357,0.026566,-0.002050,-0.000478,-0.020616,0.000128,-0.002527,-0.001193,-0.001933,-0.004881,0.005837,0.014778,0.000949,0.003477,0.003490
0.210000,1.008524,0.017519,-0.036492,-0.038450,1.071424,0.399903,0.000041,0.021790,1.127779,0.767033,0.002427,-30.334404,-29.508017,-32.850487,-31.109436,-32.347179,0.006429,-0.023342,0.006620,0.006796,-0.025569,14.012242,4.462873,16.247408,-14.544598,-1.781792,0.008456,0.004120,0.007261,-0.008250,-0.009363,0.010287,-0.010628,0.009949,0.011622,-0.010659,-0.028389,0.040019,0.006365,0.021519,0.013692
0.220000,0.680537,-0.010398,-0.032715,-0.037325,0.824671,0.399894,0.000044,0.021977,1.601305,1.694971,-0.010616,-32.290627,-27.864521,-34.806782,-33.061012,-30.756277,-0.000404,-0.014976,-0.000235,-0.000090,-0.021053,12.055311,6.718393,14.289384,-12.618977,-4.133406,0.000188,0.008245,-0.000221,0.000963,-0.007398,-0.001041,-0.018415,-0.002235,0.000214,-0.025282,-0.002652,0.019325,-0.000213,-0.003700,0.017584
0.230000,0.615883,0.514197,0.009228,0.756978,0.471409,0.399879,0.000049,0.021878,2.301479,2.217631,-0.043367,-30.884167,-25.755125,-32.881065,-30.888523,-28.715328,-0.016204,-0.011176,-0.006911,-0.019838,-0.006836,10.457921,9.145213,12.336578,-10.601512,-5.950826,0.005678,0.010969,-0.000012,-0.009135,-0.005701,-0.017212,-0.018046,-0.011601,-0.027272,-0.005440,0.027077,0.019884,-0.006679,0.024820,0.019076
0.240000,-0.016851,1.012262,0.045090,1.491975,0.231801,0.399892,0.000030,0.022012,1.776342,1.759598,-0.012195,-29.957214,-25.789776,-30.963440,-29.492434,-28.527861,-0.019963,0.002323,0.001959,-0.033304,-0.003349,9.258786,11.212111,10.642200,-9.488977,-7.754793,0.020641,0.001968,0.003291,-0.020220,-0.001666,-0.028275,0.015669,0.019436,-0.052340,0.002134,0.018297,-0.014426,0.002171,0.040792,-0.000961
0.250000,-0.064676,0.823493,0.019120,1.005235,-0.026412,0.399928,-0.0000027,0.021986,0.610738,0.469090,0.032715,-27.770113,-27.725561,-28.987389,-28.580217,-30.455568,-0.017993,0.010225,0.001440,-0.018385,0.008669,8.051591,13.094621,8.784006,-8.725398,-9.663739,0.014059,0.000176,0.001321,-0.015691,0.001083,-0.010729,0.028264,0.007700,-0.007345,0.022111,0.010899,-0.001535,0.001506,0.013335,-0.009121
0.260000,0.016495,0.210755,0.772895,0.184790,0.282467,0.399972,-0.000024,0.021494,-0.382633,-1.014134,0.019069,-26.027910,-29.666769,-26.791431,-26.738811,-32.312840,-0.006344,-0.000742,-0.013925,-0.005265,-0.004575,9.949236,11.176103,10.528819,-10.756808,-7.526348,-0.003599,0.007732,-0.001466,0.002571,-0.012219,-0.004006,-0.002727,0.022794,0.001543,0.010806,0.025772,-0.027882,-0.014240,-0.014274,0.020590
