Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m^2/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m/s^2)
0.000000,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000014,0.000000088,0.00000039,0.0000012,0.400000,-0.0000000050,0.021764,0.00000015,-0.00000082,0.000036,-42.000004,-42.000004,-42.000004,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789728,-0.789728,0.000000048,-0.00000000085,0.0000000049,-0.000000012,-0.0000000097,-0.00000013,0.0000018,-0.00000014,-0.0000017,0.000000024,0.00000042,0.00000087,-0.0000000029,0.0000013,-0.000000074
0.020000,-0.023089,-0.023299,-0.027151,-0.011071,-0.011722,0.399999,0.00000007,0.020050,0.013253,-0.002405,0.000678,-41.959576,-41.901169,-41.954128,-42.036419,-42.033932,0.003507,0.003369,0.003505,-0.003413,-0.003429,0.872079,0.599253,0.938714,-0.834925,-0.908766,-0.003349,-0.003167,-0.003503,0.004104,0.003896,0.008355,0.007974,0.008176,-0.009730,-0.009830,0.007339,0.006479,0.003495,-0.012195,-0.011806
0.030000,0.431247,0.217728,0.301152,0.045300,0.054388,0.400003,0.000017,0.017554,0.868754,-0.100546,-0.002310,-41.954155,-41.779289,-41.915203,-42.133671,-42.035381,-0.007556,-0.009592,-0.008747,0.000307,0.000231,0.823202,0.996224,0.754763,-0.771121,-0.961861,0.000989,0.006073,0.002495,-0.004368,-0.003788,0.002083,0.009316,0.004247,0.002508,0.002565,0.022291,0.011221,-0.008772,0.020212,0.017652
0.040000,1.260463,0.439942,0.770398,1.633417,2.018055,0.400029,0.000033,0.016097,1.306908,-0.410058,0.005960,-42.543430,-42.244217,-41.592060,-41.477825,-45.000732,-0.012075,-0.035809,-0.019704,-0.043930,-0.050931,1.437099,0.993956,2.798602,-3.937770,1.096355,0.012933,0.010726,0.023126,-0.017738,-0.023254,0.002654,0.002008,0.009552,0.025042,0.035762,-0.007624,0.030770,-0.019693,0.032214,0.046302
0.050000,1.244615,0.171890,1.302491,1.546152,1.800072,0.400037,0.000027,0.016144,1.051951,-0.813486,0.013503,-42.445557,-42.340523,-40.952629,-43.994442,-42.138878,-0.007840,-0.039076,-0.039972,-0.047215,-0.060162,1.283311,0.678156,3.042822,-0.368899,-2.228932,0.006719,0.017883,0.018230,-0.018765,-0.012217,-0.000153,0.003958,0.009755,0.009276,-0.000483,-0.006053,0.019107,-0.040181,0.039299,0.019739
0.060000,0.497372,0.091816,1.075431,0.611172,1.433344,0.400032,0.000013,0.016908,0.933668,-0.941498,0.010152,-42.317390,-42.291065,-40.374382,-44.017372,-41.390594,-0.003931,-0.013062,-0.038185,-0.016075,-0.044485,-0.549337,1.184136,-3.132049,-0.705114,-2.032717,0.006382,0.012740,0.025517,-0.007142,-0.016361,-0.001954,0.008746,-0.003816,0.013290,0.017334,-0.009038,-0.008129,-0.038138,0.014782,0.032414
0.070000,0.538598,-0.094355,0.771977,0.369816,0.952382,0.400015,0.0000073,0.017759,0.560346,-0.663006,0.005306,-42.323364,-42.024536,-40.526131,-42.836769,-41.913223,0.000693,-0.016175,-0.022353,-0.016641,-0.027975,1.225309,-1.250866,1.169602,-0.758137,-2.250481,-0.008885,0.009285,0.018617,-0.003530,-0.016900,-0.002982,0.006681,0.008418,-0.009699,0.011051,0.019028,0.005028,-0.022208,0.000429,0.024324
0.080000,0.196299,0.039551,0.497781,0.216992,0.365281,0.399998,0.0000047,0.018331,0.289670,-0.211607,0.004461,-42.155571,-42.395882,-41.088795,-42.700497,-41.725605,-0.001568,-0.007038,-0.016085,-0.002165,-0.012853,1.313964,1.254952,0.980323,-0.876789,-1.480985,0.000761,-0.005631,0.001118,-0.003000,0.000595,-0.000660,0.001264,0.002223,0.014329,-0.002432,-0.002883,0.022999,-0.016192,0.002819,-0.018087
0.090000,0.260815,0.438491,0.581533,0.458162,0.238852,0.399983,0.000018,0.018571,0.350681,0.009387,0.013104,-40.385845,-40.341568,-39.931828,-42.498699,-41.508064,-0.019970,-0.012045,-0.015566,-0.011224,-0.003630,3.554157,1.605177,3.047740,0.598570,-1.139305,0.000749,0.008011,0.003049,-0.010234,-0.004170,-0.013274,-0.007173,0.004963,0.008125,0.010977,0.016687,-0.004482,-0.015473,0.006400,0.011568
0.100000,0.438197,0.269931,0.338114,0.601181,0.731954,0.399967,0.000028,0.018764,0.524989,-0.047251,0.022703,-38.561260,-38.646317,-38.456688,-40.977180,-39.970230,-0.006988,-0.013812,-0.008652,-0.023027,-0.019757,5.799350,3.923261,5.194523,-2.042128,-3.014983,0.004310,-0.001255,0.004271,0.001145,-0.007102,0.003172,-0.000148,0.004219,-0.013121,0.004225,-0.002251,0.019913,-0.008586,-0.018552,0.001020
0.110000,0.730567,-0.012751,-0.010205,0.151582,0.771109,0.399960,0.000031,0.018673,0.344444,0.005264,0.030660,-38.553780,-37.205551,-38.456642,-41.184052,-39.182499,-0.000289,-0.018200,-0.000711,-0.005530,-0.021048,7.752893,5.789214,7.190195,-3.911346,-5.614555,0.000814,0.008862,0.001716,-0.001277,-0.008303,-0.000542,0.004741,-0.002338,-0.001229,0.000211,-0.004673,0.004533,-0.000715,-0.001748,0.001973
0.120000,0.779567,0.332579,0.230386,0.367184,0.926033,0.399961,0.000028,0.018500,0.727662,0.047040,0.033421,-38.937145,-36.313271,-38.385002,-41.689507,-38.564533,-0.006698,-0.019536,-0.003999,-0.008002,-0.022695,5.633868,7.383653,5.124773,-3.716028,-7.130337,0.010805,0.011674,0.008849,-0.012648,-0.013614,0.009584,-0.000906,0.010354,0.008352,0.003532,-0.016552,0.009293,-0.003894,0.031507,0.017156
0.130000,0.696699,0.128469,0.247473,0.570134,0.820232,0.399969,0.000021,0.018432,0.666321,0.040481,0.035832,-40.908970,-35.336212,-40.274479,-42.525574,-37.140789,0.001519,-0.017060,-0.001836,-0.016199,-0.022400,3.871898,9.327908,3.211528,-1.761076,-9.695020,0.003898,0.010293,0.006096,-0.007867,-0.010431,0.009327,0.002202,0.008186,-0.001925,-0.003193,-0.004599,0.005083,-0.002008,0.006197,0.005782
0.140000,0.526618,0.268206,0.658850,0.638657,0.482328,0.399977,0.000020,0.018400,0.443833,-0.161570,0.028072,-39.191212,-37.140343,-38.725204,-40.950111,-38.912334,-0.015772,-0.006000,-0.024073,-0.020479,-0.006084,5.829431,8.207429,5.640862,-3.874924,-7.734294,-0.006023,0.016693,-0.001705,0.000514,-0.017293,-0.016294,0.016136,-0.010910,-0.003943,0.019599,0.031911,-0.024454,-0.024114,-0.020261,0.032380
0.150000,0.863501,0.112438,0.724532,0.534102,1.123244,0.399973,0.000024,0.018650,0.381379,-0.390421,0.020561,-37.249996,-35.701729,-37.824451,-39.260372,-38.763748,-0.005304,-0.028291,-0.020712,-0.016028,-0.034276,7.756008,7.386085,7.197326,-6.332978,-6.407594,0.001413,0.010582,0.009748,-0.006601,-0.014957,-0.002831,-0.007902,0.002057,0.001782,-0.003811,0.000316,0.014685,-0.020819,0.004742,0.003494
0.160000,1.215042,-0.034538,0.396079,0.313569,1.244627,0.399962,0.000028,0.019179,0.410857,-0.412800,0.014675,-35.266903,-34.522423,-36.007854,-37.423019,-36.261848,-0.000391,-0.032120,-0.012777,-0.009805,-0.034588,9.713404,5.423334,9.704032,-8.579850,-5.153859,-0.000638,0.019737,0.005522,-0.004996,-0.019237,-0.001405,0.003839,-0.003155,-0.000205,0.003306,-0.000262,0.005332,-0.012922,0.005049,0.010677
0.170000,1.440373,-0.043428,0.000946,-0.004645,1.505947,0.399944,0.000030,0.019920,0.262525,-0.197988,0.010801,-33.317932,-33.416042,-34.105476,-35.457119,-35.127747,0.000120,-0.035342,-0.001848,-0.001587,-0.041648,11.610803,5.177967,11.629436,-10.503851,-4.430751,-0.000652,0.020310,0.000705,-0.000664,-0.019179,-0.000742,0.004962,-0.004387,-0.002568,-0.000159,-0.001891,0.011899,-0.001875,0.000927,0.001405
0.180000,0.641710,-0.021713,-0.051708,-0.016921,0.403826,0.399933,0.000036,0.020283,0.316164,0.205428,0.006256,-31.369703,-35.160763,-32.150341,-33.507591,-36.961575,-0.000150,-0.009807,0.000748,0.000247,-0.003674,13.476756,4.152018,13.628058,-12.466183,-2.340594,-0.000828,0.008665,-0.001872,-0.000161,-0.007364,-0.002524,0.011330,0.001384,0.000092,0.014438,0.003060,0.006887,0.000796,0.002296,0.004414
0.190000,1.209316,0.203750,-0.054164,0.105903,1.159160,0.399922,0.000049,0.020458,0.591200,0.468859,-0.002523,-29.458364,-32.644714,-30.209469,-31.639694,-35.818966,-0.004849,-0.035075,0.000726,-0.002220,-0.033483,15.429808,3.384441,15.488219,-14.547406,-1.292046,0.002950,0.015179,-0.001064,-0.002315,-0.015890,0.002420,-0.017143,0.002746,0.004465,-0.016032,0.005356,0.012905,0.000798,0.002443,0.009689
0.200000,1.542866,-0.087868,-0.091191,-0.011135,0.762045,0.399914,0.000074,0.020659,1.494382,0.829568,-0.015749,-29.489035,-31.620392,-30.145058,-31.716957,-34.753471,0.001062,-0.036618,0.001172,0.000219,-0.020229,17.428949,2.419717,17.161263,-16.582058,0.234986,-0.002724,0.017121,-0.003183,-0.001914,-0.012500,0.000705,-0.021919,0.003009,0.000346,-0.017795,0.009630,0.042458,0.001211,0.009409,0.022309
0.210000,1.022903,0.022577,0.001519,0.716296,1.088554,0.399915,0.000084,0.020887,2.054343,1.287724,-0.011570,-31.459084,-30.100773,-32.033920,-31.703205,-34.088966,0.006872,-0.026815,0.006875,-0.014004,-0.025057,15.599333,5.321892,15.344785,-15.330203,-2.231991,0.009861,0.005802,0.009487,-0.018844,-0.0000099,0.015617,-0.026749,0.014099,-0.008877,-0.014983,-0.040711,0.051052,0.006717,0.039946,0.010513
0.220000,0.931615,-0.024304,-0.022094,0.475110,0.608533,0.399918,0.000074,0.021020,1.933954,1.707214,-0.013200,-33.392792,-27.824184,-33.977581,-34.109665,-32.434116,0.000031,-0.018331,0.000145,-0.006279,-0.016290,13.658603,7.895042,13.403536,-13.100146,-4.324382,0.000754,0.013631,0.001002,-0.008443,-0.005515,0.001463,-0.022118,0.001140,-0.007836,-0.020308,-0.007600,0.029613,0.000214,0.008266,0.016505
0.230000,0.992473,0.386561,-0.001296,0.871607,0.638484,0.399918,0.000057,0.021186,1.664097,1.690864,-0.015578,-31.776970,-26.406296,-32.019432,-33.264065,-30.758770,-0.014485,-0.017830,-0.006999,-0.024036,-0.012914,11.558210,9.888120,11.458571,-12.128863,-6.496681,0.005030,0.018345,0.000117,-0.012232,-0.007740,-0.012154,-0.022357,-0.010513,-0.029644,-0.011098,0.014786,0.022079,-0.006773,0.023540,0.019027
0.240000,0.325338,0.674667,0.002367,0.922614,0.272602,0.399936,0.000038,0.021329,1.262678,0.981130,0.003639,-30.053270,-26.317308,-29.990469,-31.693205,-30.560118,-0.014913,-0.004863,0.001709,-0.019221,-0.003613,10.896392,12.302237,9.484920,-10.715628,-8.725167,0.012438,0.007033,0.000595,-0.016252,-0.003784,-0.014338,0.004248,0.011604,-0.013162,0.005717,0.013125,-0.000908,0.001794,0.023962,0.004532
0.250000,-0.016782,0.449447,0.752668,0.964713,0.248217,0.399968,0.000014,0.021353,0.673773,-0.099472,0.023420,-28.219343,-28.089996,-27.859591,-30.281197,-30.795656,-0.010190,0.006899,-0.011966,-0.022346,-0.005348,9.445633,12.360047,8.794579,-9.597425,-10.700848,0.007853,0.007009,0.007996,-0.014553,-0.003733,-0.002832,0.015036,0.015497,-0.001722,0.002385,0.007963,-0.020776,-0.012131,0.011245,0.003473
0.260000,-0.050394,-0.023162,1.307626,0.421755,0.277961,0.399991,0.0000095,0.021322,0.413481,-0.726830,0.011686,-26.275551,-30.050814,-26.506094,-28.874390,-33.029137,-0.001552,-0.000127,-0.032733,-0.010761,-0.000665,11.535971,10.320717,11.992746,-11.305285,-9.072371,-0.008777,-0.000800,0.011688,0.000359,-0.013227,-0.007263,-0.005588,-0.006587,-0.002589,0.012667,0.030728,-0.000825,-0.033551,-0.018644,0.022721
0.270000,0.198724,0.079162,0.991570,0.363162,1.008203,0.399999,0.000011,0.021255,0.134318,-0.810109,0.000831,-24.472404,-29.995674,-25.749271,-27.376820,-30.623137,-0.001935,-0.006047,-0.019961,-0.009119,-0.032106,13.431567,8.482795,14.034071,-13.666330,-7.125628,0.001019,0.002307,0.018172,-0.006567,-0.014955,0.000311,-0.003887,0.011375,0.001432,-0.004716,-0.000354,0.003433,-0.020555,0.002236,0.003180
0.280000,1.206495,0.138416,0.248931,0.072824,1.425322,0.400000,0.0000087,0.021386,-0.204625,-0.500551,0.003037,-24.579676,-28.771656,-25.997660,-25.401649,-29.402626,-0.003034,-0.033186,-0.006431,-0.003557,-0.032990,15.510950,6.515891,16.132252,-15.595538,-4.472389,0.003012,0.015400,0.007404,-0.002359,-0.024696,0.001230,0.000617,-0.003432,-0.004001,0.012785,-0.001399,0.000627,-0.006662,0.002566,-0.001729
0.290000,1.676172,-0.087121,-0.073123,-0.048423,1.476931,0.399999,0.000012,0.021762,0.062846,0.136529,0.026134,-26.425655,-27.631172,-25.996735,-25.481646,-28.343153,0.006536,-0.037863,-0.000490,0.000840,-0.034538,17.304285,4.721219,16.159929,-17.490749,-4.171067,-0.002517,0.025148,0.004089,-0.001104,-0.018461,0.005772,-0.003914,-0.004628,-0.002061,-0.004325,0.014683,0.004660,-0.000479,0.007835,-0.008213
0.300000,1.161882,0.029434,-0.090324,-0.043063,1.049223,0.399998,0.000018,0.022111,0.669889,1.009685,0.033927,-28.374666,-27.098604,-27.850975,-27.452173,-27.714317,-0.000798,-0.024709,0.007559,0.007058,-0.024640,15.578460,6.693749,14.202969,-15.502388,-6.539027,0.008027,0.010736,-0.001302,-0.008196,-0.012506,-0.003148,-0.020188,0.012562,0.013325,-0.017049,-0.031487,0.026811,0.007389,0.019190,0.005144
0.310000,0.750054,0.304776,-0.031705,0.429786,0.628493,0.399993,0.000023,0.022233,1.374549,1.767971,0.020718,-28.567911,-24.901253,-27.728413,-27.471010,-26.431143,-0.005430,-0.015998,-0.000147,-0.007010,-0.012184,13.755919,9.118958,12.232213,-13.384448,-9.163629,0.004603,0.010109,-0.000522,-0.006255,-0.006999,-0.002666,-0.021083,0.000427,-0.006826,-0.014691,0.012650,0.017813,-0.000085,0.003969,0.008759
0.320000,0.455056,0.819702,0.042980,1.292619,0.427244,0.400001,0.000016,0.022534,1.450190,1.710943,0.020543,-27.440052,-23.003031,-25.726810,-25.106466,-24.391592,-0.020936,-0.007622,-0.005666,-0.030561,-0.006815,11.250032,11.074879,10.377599,-12.358048,-11.482708,0.017205,0.007923,0.002311,-0.020329,-0.005545,-0.025792,-0.004269,0.000039,-0.046213,-0.002350,0.004402,0.006318,-0.005384,0.029529,0.005580
0.330000,-0.026505,0.801084,0.029255,1.279194,-0.024850,0.400029,-0.000011,0.022788,0.766649,0.797865,0.046184,-25.828503,-23.039654,-23.691528,-22.799801,-24.247654,-0.014436,0.003460,0.001647,-0.023948,0.002117,9.446835,12.978397,8.669422,-12.500525,-13.433013,0.016972,0.002118,0.001745,-0.018924,0.001117,-0.010552,0.016849,0.012126,-0.021605,0.010617,0.006135,-0.012647,0.001760,0.013412,-0.006271
0.340000,0.078359,0.071906,1.001560,0.430073,0.150723,0.400063,-0.000021,0.022789,0.408089,-0.039079,0.042657,-23.848011,-24.964491,-21.463522,-21.282684,-26.281813,-0.004768,0.005096,-0.018220,-0.008050,0.004572,11.455976,10.950679,10.821014,-14.882388,-11.324129,-0.006989,0.008771,0.003890,-0.002633,-0.011550,-0.011691,0.007985,-0.005529,-0.004211,0.013490,0.031597,-0.018672,-0.018653,-0.008342,0.019857
0.350000,0.110897,-0.041649,1.096448,0.402077,0.470299,0.400088,-0.000018,0.022568,0.583871,-0.282126,0.038453,-21.890715,-26.975779,-19.911716,-19.548067,-28.776161,-0.000058,-0.003861,-0.021417,-0.006549,-0.010427,13.154071,8.987163,12.870481,-17.166029,-9.997190,-0.002969,-0.000168,0.020205,-0.008802,-0.008746,-0.002005,-0.007489,-0.004348,0.001442,-0.004143,0.009397,0.011695,-0.021961,0.010014,0.008338
0.360000,0.783003,0.121892,0.684682,0.395178,1.196049,0.400097,-0.000014,0.022519,0.700279,-0.117987,0.032210,-20.049656,-26.023159,-17.780216,-17.792713,-27.478327,-0.002557,-0.021989,-0.012929,-0.007287,-0.033211,15.185641,8.437305,15.486090,-19.711317,-8.291433,0.002050,0.009683,0.012181,-0.008576,-0.018456,-0.001333,-0.009722,-0.002960,-0.002035,-0.013924,0.000945,0.013117,-0.013302,0.004323,0.015194
0.370000,1.366531,0.087814,-0.082466,-0.056588,1.360895,0.400102,-0.0000079,0.022583,0.821907,0.441677,0.034974,-20.108061,-24.767593,-17.758732,-17.794548,-27.110462,-0.001849,-0.027428,0.000845,0.000253,-0.027047,17.196230,7.581210,17.269777,-21.561945,-7.094680,0.001472,0.021473,0.000040,-0.000842,-0.020378,-0.002988,-0.011630,-0.003760,-0.002233,-0.007318,0.004715,0.019768,0.000790,0.003069,0.015413
0.380000,0.768370,0.447451,-0.047014,0.294245,0.990843,0.400111,-0.0000022,0.022676,1.398371,1.069637,0.038236,-21.970816,-23.040083,-19.609083,-19.842297,-24.824087,0.000848,-0.017177,0.008144,0.003780,-0.022687,15.776262,9.606142,15.337818,-19.633619,-9.172186,0.016295,0.004182,0.006223,-0.013721,-0.008936,0.006340,-0.019998,0.013662,0.007203,-0.022276,-0.010155,0.041739,0.008030,0.017169,0.011994
0.390000,0.544119,0.570342,-0.024323,0.523108,0.760903,0.400126,-0.0000064,0.022789,1.487703,1.416772,0.046548,-24.101973,-21.214024,-21.541729,-21.902832,-23.081472,-0.008981,-0.008412,0.000915,-0.007847,-0.014851,15.029285,12.262130,13.397280,-18.722713,-12.237148,0.010703,0.010270,0.000328,-0.010789,-0.009422,-0.012812,-0.005108,0.006197,-0.012038,-0.016188,0.016033,0.006817,0.001050,0.011101,0.014417
0.400000,0.110973,0.900563,0.037510,0.893984,0.294561,0.400147,-0.000021,0.022805,1.288563,1.013136,0.061722,-22.491442,-19.281528,-19.597010,-19.742655,-21.278137,-0.020918,-0.000092,-0.006503,-0.019538,-0.002819,13.162431,14.266189,11.487750,-17.482449,-14.558238,0.019006,0.002748,0.001105,-0.016215,-0.005204,-0.017605,0.008740,-0.001527,-0.018398,0.004150,0.007322,-0.000010,-0.006208,0.023633,0.006692
0.410000,-0.097576,0.709988,1.259012,1.447439,0.152789,0.400182,-0.000027,0.023070,1.478345,0.307830,0.069663,-20.380692,-19.202795,-17.379761,-17.528387,-21.468805,-0.013884,0.001782,-0.016691,-0.021995,-0.000535,11.209352,16.039688,9.811266,-14.587628,-16.728199,0.014213,-0.001753,0.019397,-0.031475,-0.004020,-0.011682,0.006531,-0.002752,-0.008205,0.007022,0.016820,0.000125,-0.016999,0.042245,0.005473
