Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m^2/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m/s^2)
0.000000,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000016,0.000000094,0.0000004,0.0000012,0.400000,-0.0000000050,0.021764,0.00000013,-0.0000009,0.000036,-42.000004,-42.000004,-42.000004,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789726,-0.789728,0.000000046,-0.0000000015,0.0000000050,-0.000000014,-0.0000000097,-0.00000013,0.0000018,-0.00000014,-0.0000017,0.000000028,0.00000043,0.00000087,-0.0000000026,0.0000014,-0.000000074
0.020000,-0.014019,-0.013233,-0.015273,0.006817,-0.022616,0.399999,0.00000014,0.020049,0.009574,-0.001793,0.001040,-41.962040,-41.902245,-42.010971,-42.036583,-42.076809,0.003483,0.003331,0.003365,-0.003512,-0.003268,0.773205,0.839676,0.777740,-0.860878,-0.557404,-0.002730,-0.002749,-0.002768,-0.002560,0.004481,0.008535,0.008016,0.008116,-0.009942,-0.009548,0.004430,0.004296,0.003344,0.004801,-0.014546
0.030000,0.262371,0.361853,0.441021,0.024598,0.092508,0.400004,0.000017,0.017573,0.855065,-0.109579,-0.002771,-41.864937,-41.852226,-41.977406,-41.933800,-41.967121,-0.008891,-0.008515,-0.009595,0.000155,-0.000219,0.999612,0.587232,1.319647,-0.872058,-0.440695,0.005184,0.001425,0.005682,0.002619,-0.011840,0.006859,0.003091,0.009934,0.002205,0.002193,0.013431,0.025257,-0.009626,0.002202,0.041989
0.040000,0.500112,0.716191,1.534683,1.892169,1.809380,0.400028,0.000034,0.016274,1.279608,-0.424866,0.008090,-42.686455,-42.140846,-40.818985,-43.411556,-44.571308,-0.021470,-0.012343,-0.045647,-0.049949,-0.046694,1.667495,0.348968,2.473840,2.265218,-1.307179,0.003706,0.019769,0.013223,-0.021752,-0.015252,0.000285,0.007022,-0.000484,0.026303,0.032578,0.018784,-0.019756,-0.045764,0.040103,0.022261
0.050000,0.461114,0.308923,1.498655,1.454051,1.612774,0.400035,0.000023,0.016323,1.197407,-0.685190,0.005627,-43.158352,-42.818729,-42.070328,-43.758644,-43.784245,-0.010277,-0.014574,-0.046007,-0.044747,-0.047860,0.495107,0.767303,0.493741,-2.387194,1.780740,0.012630,0.013331,0.022465,-0.007762,-0.016225,-0.001594,0.002090,0.003402,0.007049,0.011744,-0.017198,0.000502,-0.046072,0.012971,0.033993
0.060000,0.281104,0.100829,1.373818,0.663464,0.994325,0.400029,0.000012,0.016930,0.686749,-0.626103,-0.001771,-43.380775,-43.343300,-42.394279,-43.868340,-43.225704,-0.004240,-0.010519,-0.038774,-0.017045,-0.034037,0.543328,0.904235,2.775898,-0.671516,-2.103397,0.000845,0.003571,0.020536,-0.016743,-0.010803,-0.000899,-0.002496,0.016953,0.011683,-0.002164,0.000251,0.002640,-0.038868,0.035949,0.012184
0.070000,0.201084,0.119617,0.708421,0.530331,0.934387,0.400013,0.00000054,0.017629,0.282439,-0.315019,-0.005096,-43.328266,-43.229015,-42.472034,-42.887650,-42.217091,-0.004549,-0.009375,-0.017601,-0.021277,-0.032544,0.384075,1.007781,1.955237,-0.664565,-0.922078,0.001451,-0.001720,0.012132,-0.003282,-0.003569,-0.001043,-0.003275,0.009861,-0.010197,-0.003553,-0.002577,0.020181,-0.017614,-0.005878,-0.010885
0.080000,0.435745,0.172704,0.466168,0.391979,0.335904,0.400002,-0.0000023,0.018118,0.447136,-0.089305,-0.000374,-43.205273,-41.635754,-42.377892,-42.761444,-42.740910,-0.006633,-0.017425,-0.014048,-0.005445,-0.008242,0.382928,1.012535,0.518794,-0.882827,-1.094418,-0.000119,0.005780,0.006983,-0.006639,-0.004502,0.001075,-0.008678,0.003153,0.017340,0.006250,0.008749,0.010740,-0.013986,0.012992,0.009861
0.090000,0.814779,0.042358,0.485111,0.367385,0.369265,0.399988,0.000006,0.018405,0.601891,0.027495,0.006196,-41.238480,-39.316036,-40.187271,-42.604107,-42.647251,-0.009748,-0.022662,-0.021205,-0.010814,-0.004690,2.293441,2.081077,2.391878,-0.982807,-1.153268,-0.008498,0.014753,-0.004422,-0.000957,-0.006474,-0.014770,0.002364,-0.012932,0.000644,0.016011,0.026943,-0.005814,-0.021119,-0.011142,0.009957
