0,0.0033019,1,1,0.32273,0.068945,-0.38785,0.0011964,0.17548,-0.10323,0.97906,20.526,11.687,-1.9831
1,0.013377,1,1,-0.02681,0.072964,-0.39259,0.013858,0.0201,-0.0041833,0.99969,2.2966,0.51115,1.5781
2,0.033393,1,1,-0.027019,0.072306,-0.39132,0.025492,0.014311,-0.0062348,0.99955,1.6213,0.75596,2.9111
3,0.043347,1,1,-0.027021,0.072308,-0.39131,0.025247,0.014214,-0.0061062,0.99956,1.6108,0.74056,2.8833
4,0.053385,1,1,-0.027021,0.07231,-0.39131,0.025267,0.014218,-0.0061161,0.99956,1.6112,0.74174,2.8856
5,0.063349,1,1,-0.027017,0.072306,-0.39131,0.025317,0.014242,-0.0061187,0.99956,1.6139,0.74218,2.8913
6,0.073299,1,1,-0.027012,0.072305,-0.39131,0.025271,0.01424,-0.0061075,0.99956,1.6137,0.74082,2.8861
7,0.083309,1,1,-0.027013,0.072306,-0.39132,0.025268,0.014233,-0.0060597,0.99956,1.6131,0.73532,2.8858
8,0.093382,1,1,-0.027012,0.072305,-0.39132,0.025244,0.014263,-0.0060836,0.99956,1.6164,0.73811,2.883
9,0.11332,1,1,-0.027014,0.072304,-0.39132,0.025299,0.014232,-0.0061417,0.99956,1.6126,0.74476,2.8892
10,0.12332,1,1,-0.027016,0.072304,-0.39132,0.02548,0.01433,-0.0062127,0.99955,1.6235,0.75347,2.9097
11,0.13335,1,1,-0.027018,0.07231,-0.39131,0.025226,0.014247,-0.006116,0.99956,1.6145,0.74174,2.8809
12,0.15326,1,1,-0.027021,0.072311,-0.39131,0.025332,0.014274,-0.0061044,0.99956,1.6176,0.74066,2.893
13,0.16331,1,1,-0.02702,0.072312,-0.39131,0.025306,0.014237,-0.0061181,0.99956,1.6133,0.74208,2.8901
14,0.17338,1,1,-0.027016,0.072312,-0.39131,0.025233,0.014264,-0.0061071,0.99956,1.6165,0.74078,2.8817
15,0.18335,1,1,-0.027015,0.072309,-0.39131,0.025305,0.014202,-0.0060673,0.99956,1.6095,0.73616,2.89
16,0.19344,1,1,-0.027014,0.072303,-0.39132,0.02546,0.014294,-0.0062651,0.99955,1.6193,0.75933,2.9074
17,0.20344,1,1,-0.027012,0.072309,-0.39132,0.025249,0.014235,-0.0060758,0.99956,1.6132,0.73714,2.8836
18,0.21341,1,1,-0.027012,0.072306,-0.39131,0.025295,0.014208,-0.0061533,0.99956,1.6099,0.74601,2.8887
19,0.23329,1,1,-0.027013,0.072309,-0.39131,0.025243,0.01423,-0.0061288,0.99956,1.6125,0.74319,2.8828
20,0.24341,1,1,-0.02702,0.072309,-0.39131,0.025338,0.014221,-0.0061446,0.99956,1.6114,0.74512,2.8937
21,0.25337,1,1,-0.02702,0.07231,-0.39131,0.025323,0.014221,-0.0061038,0.99956,1.6115,0.74042,2.8921
22,0.26351,1,1,-0.027019,0.072312,-0.39131,0.025258,0.014226,-0.0060696,0.99956,1.6122,0.73642,2.8847
23,0.27336,1,1,-0.02702,0.072306,-0.39132,0.025444,0.014327,-0.0062012,0.99955,1.6233,0.75208,2.9057
