Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000023,0.0000016,0.00000012,0.00000016,0.00000060,0.0000012,0.400000,-0.0000000054,0.021764,0.0000000097,-0.000001,0.000035,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,-0.000000045,0.000000045,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789729,-0.789727,-0.789727,0.000000048,-0.0000000023,0.0000000054,0.000000004,-0.000000014,-0.000000012,-0.00000015,0.0000018,-0.00000015,0.000000036,-0.0000017,0.000000044,0.00000025,0.00000089,0.000001,-0.0000006,0.0000014,-0.0000000095
0.020000,-0.016855,-0.014915,-0.018239,-0.016381,-0.018104,0.008375,0.399999,0.00000011,0.020049,0.010137,-0.002982,0.001321,-41.907185,-41.904846,-41.904804,-41.999336,-42.085545,-41.927364,0.003342,0.003347,0.003346,-0.001246,-0.003274,-0.003541,0.838720,0.704438,0.673784,-0.792622,-0.936786,-0.822000,-0.002919,-0.002929,-0.002871,0.001844,0.004261,-0.002837,0.007790,0.007760,0.007657,-0.001609,-0.009148,-0.009588,0.006012,0.005014,0.003953,-0.003092,-0.013451,-0.003530
0.030000,0.381543,0.214806,0.401915,0.032176,0.059701,0.042202,0.400003,0.000017,0.017568,0.846961,-0.094387,-0.002708,-41.908237,-42.246029,-41.885036,-41.998680,-42.096279,-41.822060,-0.007872,-0.008826,-0.009157,0.000047,-0.000087,-0.000059,0.606493,0.643295,0.824458,-0.832508,-1.007086,-0.864863,0.000799,0.005146,0.006113,-0.002069,-0.004792,0.002249,0.002608,0.008620,0.009095,0.000242,0.001125,0.000927,0.023494,0.013406,0.014259,0.009039,0.024027,-0.000042
0.040000,0.997793,0.226263,1.787640,1.053556,1.338253,1.825772,0.400030,0.000024,0.016507,0.925608,-0.620876,0.008912,-41.833744,-42.508415,-42.679646,-41.827431,-42.397911,-43.357082,-0.006799,-0.027728,-0.049621,-0.020059,-0.034818,-0.048067,1.316259,1.062941,-0.467262,-1.200561,2.489986,2.033839,0.014676,0.015468,0.022720,-0.010759,-0.015686,-0.019373,0.002231,0.005590,0.010419,0.009390,0.029881,0.036856,-0.030714,-0.003236,0.016007,0.010058,0.016526,-0.048434
0.050000,0.867252,0.083520,1.432694,0.068846,0.740679,1.636348,0.400037,0.000022,0.016676,0.864536,-1.019551,0.009847,-42.126865,-41.189758,-41.511642,-41.812218,-42.620304,-43.999168,-0.004454,-0.031934,-0.041439,-0.002402,-0.026296,-0.046418,1.328909,1.689543,3.177212,-1.130435,-0.858472,1.140942,-0.003127,0.009692,0.022424,-0.001872,-0.007761,-0.020948,0.002559,-0.001075,0.011778,0.000088,-0.002462,0.021343,0.013749,0.027589,0.017653,0.000056,0.009407,-0.046617
0.060000,0.527623,0.000144,0.779534,-0.025396,0.637440,1.261010,0.400032,0.000015,0.017228,0.981075,-1.075402,0.016496,-42.291977,-40.925373,-42.264446,-41.816196,-43.231075,-42.976635,-0.001962,-0.016840,-0.027698,0.000152,-0.021118,-0.041782,0.893170,-1.239963,-1.432195,-1.133014,-0.337949,-2.376828,-0.000814,0.015571,0.017067,-0.000085,-0.001627,-0.006898,-0.001708,0.005662,0.002569,-0.001020,0.005906,0.011434,0.004688,-0.002371,0.019163,0.001602,-0.000231,-0.041647
0.070000,0.260747,-0.015431,0.739235,-0.033122,0.625592,0.587436,0.400019,0.0000078,0.017793,0.591179,-0.888462,0.008001,-42.431347,-40.792511,-42.469200,-41.819080,-41.551636,-43.996975,-0.000333,-0.009600,-0.014982,-0.000069,-0.017603,-0.021039,1.318418,1.041904,1.132664,-1.116447,-1.074807,-0.935463,0.000285,-0.002713,0.014910,0.000763,-0.011347,-0.004451,-0.003760,-0.000010,0.025115,-0.001363,0.010806,0.000780,-0.005545,0.015441,-0.004378,-0.002885,0.017643,-0.021089
0.080000,0.386751,-0.037653,0.363298,-0.013432,0.401057,0.354219,0.400007,0.0000024,0.018081,0.420004,-0.536823,0.004597,-42.415043,-40.740829,-43.019299,-41.819935,-41.363640,-43.854397,0.000147,-0.010873,-0.012131,-0.000037,-0.012894,-0.006986,1.041139,1.589385,1.210774,-1.112670,-1.345681,-1.675090,-0.001127,0.003532,0.001760,0.000029,0.002197,-0.003885,-0.001454,0.006574,0.002263,-0.000487,0.002589,0.014448,0.002332,0.004991,0.024381,0.000498,-0.013635,-0.007047
0.090000,1.228358,0.061273,0.351235,-0.032005,0.478419,0.688019,0.399992,0.000011,0.018247,0.548551,-0.422642,0.007272,-40.509335,-38.238956,-40.876392,-41.814003,-41.900974,-42.181911,-0.009903,-0.033832,-0.016773,0.000264,-0.012472,-0.019784,2.891520,3.091753,3.168115,-1.110622,-1.677026,1.209900,-0.001996,0.020465,0.000447,-0.000219,-0.007778,-0.016239,-0.014704,0.011008,-0.008745,0.001110,0.008884,0.006160,0.010560,0.002276,0.014268,0.001900,0.010895,-0.019610
0.100000,1.072478,0.004027,0.334911,-0.045431,0.592939,0.995387,0.399972,0.000020,0.018652,0.714656,-0.443225,0.016970,-38.575100,-35.793568,-39.404686,-39.863770,-39.682030,-40.823654,-0.001596,-0.031553,-0.009737,0.000112,-0.018276,-0.031215,4.821922,4.321651,5.148897,-3.008546,-4.358068,-2.688303,0.000323,0.005914,0.004450,0.000609,-0.005597,-0.005089,-0.000728,0.004029,0.004286,-0.000019,0.001498,0.001057,-0.003159,0.029571,0.001507,-0.001752,0.002521,-0.031137
0.110000,1.116998,-0.058822,-0.053756,-0.019178,0.147537,0.790533,0.399961,0.000030,0.018924,1.030192,-0.335130,0.024635,-38.586918,-34.385963,-39.412571,-37.914455,-39.622437,-40.080547,0.001409,-0.028613,0.000651,-0.000002,-0.004139,-0.020405,6.760576,5.823501,7.018867,-4.976338,-6.334501,-5.705067,-0.001759,0.013844,-0.001125,0.000049,-0.002521,-0.008239,0.003602,0.009125,0.000787,-0.000444,0.002923,0.009405,0.003466,0.018773,0.001329,0.000158,0.005358,-0.020438
0.120000,0.794791,0.030711,0.024410,-0.032892,0.580532,0.674218,0.399956,0.000027,0.019030,1.325539,-0.234797,0.031006,-38.663708,-33.485439,-39.413197,-35.966679,-39.563446,-39.135132,-0.000432,-0.016892,-0.000039,0.000080,-0.013735,-0.018362,5.034888,7.865400,5.180234,-6.941275,-5.061047,-8.046184,0.009004,0.013090,0.008529,0.000452,-0.015870,-0.008475,-0.001066,0.008460,0.000623,-0.000071,0.009705,0.003343,-0.031827,0.013506,-0.031513,-0.001195,0.036607,-0.018308
