Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000025,0.0000016,0.000000043,-0.00000040,0.00000044,0.0000013,0.400000,-0.0000000047,0.021764,0.00000089,-0.00000044,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789726,-0.789727,0.000000042,-0.0000000014,0.0000000027,0.0000000067,-0.000000015,-0.000000013,-0.00000012,0.0000018,-0.00000013,0.000000026,-0.0000018,0.000000016,0.00000042,0.00000085,0.000001,0.00000047,0.0000013,-0.0000000100
0.020000,-0.002268,-0.001954,-0.002993,-0.007741,-0.005193,-0.005372,0.399999,-0.00000011,0.020049,-0.013087,-0.004317,0.002097,-42.010277,-42.011089,-42.010590,-42.012566,-41.988575,-41.932835,0.003342,0.003322,0.003344,-0.002219,-0.003290,-0.003427,0.794570,0.787384,0.810825,-0.339659,-0.802197,-0.809846,-0.002060,-0.002029,-0.002046,-0.001201,-0.001968,-0.001972,0.008102,0.007938,0.007997,-0.002528,-0.009143,-0.009555,0.002002,0.001199,0.000562,-0.001287,0.001847,-0.003424
0.030000,0.436581,0.121287,0.545476,1.165122,-0.041615,0.017394,0.400015,-0.00000083,0.017884,-0.160075,-0.637404,-0.008006,-42.067772,-42.372944,-41.974239,-43.110703,-41.887177,-41.831852,-0.004652,-0.008127,-0.011382,-0.020511,0.001610,0.001407,0.621930,0.564010,1.132992,-1.704459,-0.850416,-0.855346,0.001959,0.008552,0.007365,-0.013226,0.005237,0.004826,0.008237,0.021407,0.021943,0.016801,0.007315,0.008306,0.008115,-0.002386,0.014868,-0.000409,-0.008574,0.001467
0.040000,0.808236,-0.012950,1.680772,0.932849,0.648630,1.653637,0.400052,-0.0000006,0.016846,0.045180,-1.677475,-0.006766,-42.071129,-42.008999,-42.727043,-43.215847,-41.825291,-41.097080,-0.000510,-0.026220,-0.047765,-0.017827,-0.016830,-0.041421,0.521061,2.281474,2.001464,-0.693592,-1.277067,-4.209559,0.004172,0.010858,0.042023,-0.012332,-0.005796,-0.015718,0.004059,0.010275,0.036348,0.022314,0.027628,0.060434,-0.014011,-0.001311,-0.015942,-0.000482,-0.002393,-0.041729
0.050000,0.791184,-0.039166,1.382988,0.112916,0.612129,1.810651,0.400067,0.0000032,0.016781,0.105157,-2.287090,-0.011682,-42.151432,-41.623360,-43.179569,-43.403225,-42.564377,-44.272827,-0.000796,-0.024459,-0.043730,-0.003930,-0.020716,-0.054849,0.399867,1.352569,3.508668,-0.316549,0.256378,-2.472990,0.000490,0.019072,0.028431,-0.002375,-0.014078,-0.027309,-0.007160,0.021128,0.038143,0.002372,0.013619,0.056833,-0.005816,-0.008547,0.000511,-0.000144,0.019424,-0.055199
0.060000,0.558062,-0.049987,0.890102,-0.031451,0.386122,1.391657,0.400065,0.0000022,0.017221,0.348566,-2.365924,-0.000495,-42.188946,-42.551640,-43.435009,-43.432400,-43.103565,-44.687843,-0.000920,-0.018051,-0.027871,-0.000180,-0.007880,-0.041968,0.434619,-0.559068,2.238471,-0.338370,-0.252299,-1.729816,-0.002020,0.010521,0.024139,0.000409,-0.005355,-0.013050,-0.008937,0.019010,0.028582,-0.005565,0.022009,0.051072,0.003955,0.009672,-0.008733,0.000357,0.004131,-0.042025
0.070000,0.215387,0.001361,0.804567,-0.029511,0.155725,1.313150,0.400048,-0.0000014,0.017644,0.254256,-1.933512,-0.002402,-42.168121,-42.430233,-43.027386,-43.468380,-43.001099,-43.696835,-0.001311,-0.007835,-0.024574,-0.000504,-0.007495,-0.045755,0.647365,-0.585218,-1.916465,-0.349232,-0.336621,-1.188039,0.000752,0.003008,0.019879,0.000839,-0.001527,-0.017175,-0.008508,0.002756,0.028202,-0.003903,0.000605,0.031958,-0.004141,-0.003767,-0.003617,-0.002449,-0.002751,-0.045605
0.080000,0.452419,-0.027191,0.658962,0.191970,0.103045,0.771136,0.400024,-0.0000082,0.017995,0.006409,-1.166784,-0.009092,-42.176174,-42.226582,-42.685650,-43.715473,-43.298462,-43.707233,-0.000282,-0.013491,-0.021008,-0.004242,-0.004030,-0.019422,0.583052,0.871559,1.180721,-0.587713,-0.343489,0.163925,0.000131,0.004993,0.010187,-0.003039,-0.001218,-0.011290,-0.003253,0.010276,0.011683,0.003562,0.001126,0.028078,-0.001903,-0.001488,0.005323,-0.001303,0.000087,-0.019485
0.090000,0.430644,-0.085898,0.796351,0.473328,0.051543,0.474385,0.399996,-0.000014,0.018223,-0.473194,-0.673478,-0.003878,-40.239178,-40.097301,-42.071499,-43.805397,-43.188179,-42.603062,-0.006025,-0.019732,-0.026169,-0.011126,-0.002274,-0.017402,2.222872,-0.653327,2.080503,-0.878369,-0.308291,-0.389806,-0.007810,0.005824,0.001128,-0.005901,0.000548,-0.004445,-0.014882,-0.014637,0.008491,0.009054,0.006013,0.000964,0.014375,-0.008612,0.014465,-0.005202,-0.006379,-0.017215
