Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000027,0.0000016,0.000000040,-0.00000039,0.00000045,0.0000013,0.400000,-0.0000000047,0.021764,0.000001,-0.00000044,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,-0.000000030,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789727,-0.789728,0.000000046,-0.0000000022,0.0000000028,0.0000000063,-0.000000016,-0.000000012,-0.00000012,0.0000018,-0.00000013,0.000000026,-0.0000017,0.000000017,0.0000004,0.00000086,0.000001,0.00000047,0.0000013,-0.0000000100
0.020000,-0.012234,-0.011659,-0.012223,-0.000282,0.004651,-0.023229,0.399999,0.00000016,0.020049,0.008381,-0.000637,0.001003,-42.069157,-41.958244,-41.960091,-41.991405,-42.095261,-41.945583,0.003504,0.003490,0.003492,-0.002236,-0.003321,-0.003331,0.820388,0.776784,0.837026,-0.787501,-0.784477,-0.742637,-0.002523,-0.002602,-0.002596,-0.001582,-0.002523,0.004590,0.008662,0.008599,0.008624,-0.002715,-0.009273,-0.009673,0.003738,0.003742,0.003530,-0.000184,0.004492,-0.003333
0.030000,0.496579,0.182714,0.598521,1.176952,-0.050332,0.041263,0.400017,-0.0000013,0.017916,-0.189404,-0.683525,-0.007552,-42.102562,-42.410919,-42.386211,-42.673767,-42.131893,-41.992241,-0.005084,-0.009082,-0.012043,-0.021829,0.002244,0.001717,0.828639,1.227030,0.883908,-1.641139,-0.930158,-0.879063,0.001627,0.011141,0.009031,-0.013360,0.000309,-0.007564,0.010765,0.023358,0.023065,0.016768,0.009658,0.010214,0.001706,-0.008891,0.008110,-0.001826,0.001119,0.001774
0.040000,1.028311,-0.044481,1.546932,1.066279,0.593555,1.789388,0.400056,0.0000030,0.017028,-0.006173,-1.914048,-0.012343,-42.119118,-42.139862,-43.091892,-41.285999,-41.915329,-41.196400,-0.001457,-0.035869,-0.043509,-0.023072,-0.017008,-0.045003,0.721787,1.620859,2.819939,-0.436019,-0.903858,-4.336857,-0.001270,0.020738,0.037729,-0.013684,-0.000552,-0.016323,0.003560,0.011985,0.041792,0.027723,0.023899,0.070189,0.002524,0.004562,-0.008590,0.001067,-0.015287,-0.045315
0.050000,0.313783,0.014818,1.542335,-0.024579,0.313861,2.037909,0.400069,0.000004,0.016944,-0.010600,-2.464144,-0.014902,-42.085018,-42.547573,-42.196167,-41.294868,-41.917599,-40.123459,-0.001961,-0.014807,-0.051085,-0.001934,-0.012705,-0.066012,0.630317,1.503489,1.715306,-0.161157,-1.268867,3.381790,0.006554,0.000065,0.033000,-0.000426,-0.003757,-0.021219,-0.009011,0.001704,0.041998,-0.006603,0.002055,0.063913,-0.016208,0.012219,-0.009165,0.001559,0.001601,-0.066058
0.060000,0.319758,0.005854,0.980511,-0.042247,0.192560,1.556967,0.400060,-0.00000047,0.017284,-0.177702,-2.258108,-0.018577,-42.033703,-42.966343,-42.815098,-41.322811,-41.794510,-42.792160,-0.001561,-0.005719,-0.034267,-0.000397,-0.009429,-0.046655,0.763041,1.291807,2.270355,-0.093212,-1.270049,-1.569601,0.001408,0.008098,0.014721,0.001143,-0.001411,-0.019665,-0.011570,0.017517,0.025224,-0.005348,-0.002113,0.062016,-0.006200,-0.009641,0.007055,-0.002798,-0.006873,-0.046984
0.070000,0.503890,-0.075898,0.888606,0.392429,0.157664,1.208460,0.400039,-0.000011,0.017772,-0.199529,-1.665001,-0.006097,-41.910641,-42.723122,-42.344223,-41.148067,-42.085361,-42.938728,-0.000275,-0.015600,-0.027644,-0.007501,-0.005223,-0.038602,0.499724,-1.153996,-1.214796,-1.287813,-1.040310,-1.519854,-0.002308,0.014003,0.025285,-0.004825,-0.003179,-0.008989,-0.004138,0.013243,0.022034,0.011925,0.003129,0.029915,0.005735,-0.014394,-0.016263,-0.000247,0.007180,-0.038413
0.080000,0.494281,-0.080959,0.649425,0.507484,-0.014371,0.442275,0.400023,-0.000013,0.018240,-0.267901,-1.205507,-0.004079,-41.851040,-42.631973,-42.016052,-41.048206,-42.160038,-42.812046,0.001064,-0.015708,-0.020686,-0.011300,-0.000230,-0.008364,0.486036,-0.653654,1.835545,-1.694744,-0.971322,-1.636982,-0.002448,0.007514,0.009995,-0.002359,-0.001194,-0.007471,0.001730,0.010040,0.014479,0.011993,-0.001194,0.023476,0.005677,0.002590,0.004802,-0.004953,0.006517,-0.008353
0.090000,0.163535,-0.069371,1.110061,0.530616,-0.068276,0.308888,0.400002,-0.0000019,0.018490,-0.485523,-0.877839,-0.000264,-39.886429,-40.828964,-40.713291,-41.097565,-42.233543,-42.662815,-0.006707,-0.011092,-0.031330,-0.011557,0.000901,-0.008337,2.367234,1.274322,2.610908,-2.185185,-0.941112,-0.341271,-0.007779,-0.004321,0.006676,-0.005546,0.001862,-0.009139,-0.019347,-0.008156,0.021998,0.009889,0.002027,0.008566,0.015244,0.017329,0.000057,-0.009065,-0.006867,-0.008272
