Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000025,0.0000016,0.00000004,-0.00000039,0.00000044,0.0000013,0.400000,-0.0000000047,0.021764,0.00000099,-0.00000046,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789727,-0.789728,0.000000042,-0.0000000017,0.0000000025,0.0000000064,-0.000000014,-0.00000001,-0.00000013,0.0000018,-0.00000013,0.000000026,-0.0000017,0.000000016,0.00000042,0.00000086,0.000001,0.00000047,0.0000013,-0.0000000099
0.020000,-0.021195,-0.021309,-0.022826,0.008458,-0.013773,-0.013839,0.399999,0.000000084,0.020050,0.021980,-0.001926,0.001035,-41.953636,-42.012379,-42.073837,-41.989594,-41.988316,-42.082619,0.003505,0.003399,0.003528,-0.002249,-0.003237,-0.003254,0.816071,0.719738,0.891449,-0.791053,-1.006788,-0.832244,-0.003036,-0.003053,-0.003220,-0.002007,0.004222,0.004232,0.008554,0.008227,0.008560,-0.002688,-0.009157,-0.009202,0.006213,0.006038,0.006185,0.001568,-0.012708,-0.003253
0.030000,0.459494,0.121802,0.549611,1.149516,-0.033129,0.026957,0.400016,-0.0000036,0.017905,-0.244209,-0.684371,-0.009342,-42.018517,-42.336739,-42.466160,-42.142998,-42.034805,-42.139072,-0.004486,-0.008454,-0.011303,-0.021359,0.002028,0.001779,0.319544,1.109195,1.131653,-1.063306,-0.834074,-0.731031,0.002548,0.009218,0.007673,-0.008811,-0.000800,-0.001399,0.007411,0.021384,0.021368,0.015511,0.009239,0.010047,0.004087,-0.007588,0.009940,-0.009088,0.006025,0.001840
0.040000,0.942776,-0.074961,1.492906,0.800935,0.786145,1.558013,0.400054,-0.0000017,0.016760,-0.136069,-1.689738,-0.014268,-41.882969,-42.542458,-43.237244,-42.526581,-41.729206,-43.642570,0.001878,-0.029277,-0.041959,-0.018972,-0.021500,-0.038975,0.333750,0.891285,1.867592,-1.523044,-1.855437,-0.847280,0.004599,0.012435,0.037236,-0.009837,-0.008213,-0.022231,0.002659,0.014889,0.035319,0.018170,0.028083,0.059262,-0.018374,0.004496,-0.016827,-0.002455,-0.004180,-0.039236
0.050000,0.838521,-0.079080,1.606015,0.131735,0.641734,1.957670,0.400064,0.0000038,0.016740,0.129309,-2.210896,-0.009707,-41.799278,-41.401733,-44.062714,-42.612823,-42.391083,-43.008114,-0.001246,-0.031585,-0.053239,-0.004745,-0.022078,-0.058747,0.119228,1.833086,0.902569,-1.438475,-0.643835,3.431842,-0.001140,0.012542,0.035648,-0.002163,-0.008153,-0.019815,-0.008765,0.010127,0.035339,0.001827,0.012047,0.060153,0.000751,0.008228,0.002163,0.002388,0.006417,-0.059026
0.060000,0.293609,-0.067125,1.168302,0.002044,0.504009,1.141026,0.400061,0.0000044,0.017151,0.195128,-2.203586,0.003478,-41.786167,-41.241783,-43.457577,-42.652290,-42.178329,-45.164295,-0.000686,-0.010593,-0.031417,-0.001338,-0.011938,-0.039205,1.687002,1.685882,-1.422876,-1.430671,-0.828157,-2.009546,-0.007874,0.004191,0.030965,0.000577,-0.011831,-0.016075,-0.008194,0.005737,0.049335,-0.003009,0.024823,0.028730,0.015412,-0.006329,-0.014973,-0.003779,0.015067,-0.039397
0.070000,0.340011,-0.017650,0.918118,-0.025534,0.315615,1.061368,0.400042,-0.000000025,0.017697,-0.078908,-1.822212,-0.006493,-41.773666,-41.713303,-42.961941,-42.641823,-42.021908,-42.642559,-0.000842,-0.011627,-0.030969,-0.000333,-0.012424,-0.035406,1.482670,1.293911,-2.234369,-1.392689,-1.133615,-1.699390,0.000939,0.003347,0.011639,0.000188,-0.001550,-0.010458,-0.005388,0.008085,0.020393,-0.003107,0.005622,0.027102,-0.004371,0.001456,0.006892,0.000608,-0.016606,-0.035163
0.080000,0.282176,-0.043920,0.715954,-0.003590,0.248596,0.551098,0.400019,-0.0000026,0.018039,-0.066362,-1.094186,0.000256,-41.662292,-41.571655,-42.608059,-42.636940,-42.568096,-42.820560,-0.000362,-0.008913,-0.021619,-0.000350,-0.005884,-0.017515,1.314811,1.622252,1.833797,-1.401998,-1.313577,0.601002,-0.002425,0.001933,0.010973,-0.000447,-0.004689,-0.004531,-0.003264,0.006473,0.015695,-0.002441,0.009506,0.009462,0.006113,0.004006,-0.001999,0.001809,0.001516,-0.017559
0.090000,1.108621,-0.084533,0.753001,0.650269,0.387282,0.239091,0.399998,0.0000078,0.018400,-0.047303,-0.787729,0.011855,-39.720512,-39.129608,-41.126251,-42.472458,-42.410259,-42.523987,-0.005418,-0.029477,-0.026688,-0.012857,-0.010096,-0.005338,3.360344,2.614733,2.861931,1.050948,0.919562,-1.077037,-0.001574,0.019061,-0.000601,-0.011266,-0.013914,-0.009585,-0.015213,0.020587,0.004612,0.015276,0.013047,0.012542,-0.000884,-0.016864,0.021151,0.001420,0.018566,-0.005287
0.100000,0.830259,-0.103698,0.491954,0.476988,0.251030,0.684905,0.399979,0.000017,0.018948,0.113988,-0.930764,0.020658,-37.617817,-38.441311,-39.486065,-40.608143,-40.882534,-40.983002,0.001852,-0.024154,-0.012519,-0.011750,-0.013833,-0.020393,5.345306,2.270929,5.062864,-1.775617,-1.234222,-2.156758,-0.002995,0.002880,0.005703,-0.002048,0.005419,-0.001307,0.005108,0.013505,0.015046,0.007969,-0.010074,0.011869,0.004880,0.020031,0.002115,-0.001982,-0.023484,-0.020315
0.110000,0.432611,-0.001649,0.000770,0.187817,-0.044991,0.584554,0.399972,0.000012,0.019065,-0.264290,-1.015632,0.024050,-37.696735,-36.938919,-39.556408,-38.775089,-40.861736,-39.907032,0.000661,-0.009538,-0.000565,-0.003811,0.000334,-0.015059,7.405620,4.257831,7.070694,-3.667910,-3.227078,-4.167970,0.001255,0.006044,0.001746,-0.001821,0.001763,-0.006580,0.003424,0.013780,-0.001528,0.003970,0.000239,0.015041,-0.005464,-0.008175,-0.007924,-0.002601,-0.006133,-0.015043
0.120000,0.633866,0.010295,0.384035,0.338537,-0.035206,0.838206,0.399973,-0.0000016,0.018964,-0.190787,-1.110718,0.029007,-37.608997,-35.309879,-39.412334,-37.121517,-40.868343,-37.590874,-0.000421,-0.016910,-0.007638,-0.006234,0.000608,-0.022435,5.395358,7.070475,5.477511,-5.870898,-5.135774,-5.777089,0.008171,0.005686,0.010958,-0.004742,-0.000850,-0.011325,-0.002586,0.013452,0.019862,0.007157,0.000289,0.018059,-0.026472,0.007079,-0.021012,0.001614,0.006374,-0.022395
0.130000,0.847024,-0.064627,0.687399,0.288429,-0.030016,0.985216,0.399972,-0.0000077,0.018926,-0.342641,-1.034326,0.027125,-39.584545,-32.984219,-39.480270,-35.254604,-40.775791,-36.216080,0.007347,-0.024040,-0.020198,-0.005851,-0.000538,-0.026948,3.374496,9.455332,4.384353,-8.047393,-3.320888,-7.418265,-0.000947,0.010547,0.009720,-0.004109,-0.007463,-0.014686,0.015213,0.010451,0.007175,0.004193,-0.004597,0.015423,0.002607,-0.003184,-0.001524,-0.003014,0.024871,-0.027088
0.140000,0.796871,-0.108976,0.811753,0.466135,-0.080289,0.697174,0.399963,0.00000083,0.018980,-0.239457,-0.839596,0.024792,-37.600365,-34.641502,-38.831337,-37.406189,-38.807930,-37.884506,-0.007462,-0.012550,-0.025879,-0.003500,-0.000280,-0.012637,5.066143,7.179184,5.767111,-6.485500,-5.210820,-6.343524,-0.011054,0.022699,0.002672,-0.012293,0.008247,-0.019090,-0.025592,0.024498,0.003461,0.010865,-0.004707,0.023946,0.030088,-0.039585,0.021326,0.005739,-0.023836,-0.012788
