Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000026,0.0000014,0.000000035,-0.00000039,0.00000044,0.0000013,0.400000,-0.0000000047,0.021764,0.00000099,-0.00000039,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789728,-0.789727,0.000000047,-0.0000000029,0.0000000023,0.0000000065,-0.000000012,-0.000000012,-0.00000012,0.0000018,-0.00000013,0.000000026,-0.0000017,0.000000015,0.00000039,0.00000086,0.000001,0.00000047,0.0000013,-0.00000001
0.020000,-0.017804,-0.016295,-0.020461,-0.020030,-0.015262,0.009519,0.399999,0.00000020,0.020049,0.024297,-0.001837,0.000967,-42.012657,-42.012352,-41.961700,-41.998474,-41.941956,-42.102440,0.003361,0.003347,0.003501,-0.002207,-0.003427,-0.003374,0.670069,0.662747,0.688866,-1.098592,-0.666882,-0.805089,-0.002937,-0.002940,-0.003038,0.003010,0.003970,-0.002868,0.007799,0.007627,0.008031,-0.002480,-0.009494,-0.009040,0.006279,0.005219,0.004429,-0.004375,-0.012592,-0.003373
0.030000,0.397637,0.160526,0.614904,1.188963,0.011837,0.017971,0.400015,0.00000052,0.017888,-0.097730,-0.645995,-0.007128,-41.846081,-42.201897,-42.528851,-41.635414,-41.973305,-42.006760,-0.004509,-0.008063,-0.011623,-0.021642,0.001958,0.001428,0.887269,1.303637,1.188180,-2.789225,-0.707206,-0.834909,0.008154,0.011921,0.014926,-0.013985,-0.008697,0.004965,0.010645,0.018841,0.025302,0.015545,0.010178,0.008563,-0.005050,-0.001988,0.000775,-0.000317,0.030943,0.001500
0.040000,0.664423,0.053260,1.781935,1.043793,0.654930,1.626921,0.400054,0.0000017,0.016904,0.110736,-1.745358,-0.004149,-41.701519,-43.132256,-41.458549,-41.319038,-41.908508,-44.364471,-0.004442,-0.019173,-0.051271,-0.024047,-0.018104,-0.039967,0.776565,0.308943,-1.205083,-1.986941,-1.723436,-0.946387,-0.002938,0.015874,0.033453,-0.017170,-0.005207,-0.016094,0.002945,0.015052,0.038571,0.024482,0.027292,0.062412,0.005994,-0.007454,-0.002132,0.002605,-0.009360,-0.040270
0.050000,0.567109,-0.052635,1.656625,0.252124,0.384496,1.609913,0.400071,0.0000033,0.016824,0.266596,-2.424768,-0.001309,-41.602917,-42.276360,-44.211601,-41.540062,-42.559078,-43.586838,-0.000312,-0.025419,-0.052353,-0.006556,-0.014803,-0.045576,0.648868,0.921502,0.383556,-1.051938,-1.226285,-2.921780,0.004340,0.007261,0.027892,-0.000682,0.001214,-0.024370,-0.006355,-0.001645,0.047590,0.008420,0.004807,0.060569,-0.009059,0.007949,0.002135,0.001578,-0.010092,-0.046057
0.060000,0.182715,0.006109,1.239707,-0.039690,0.380976,1.434790,0.400068,-0.0000018,0.017234,-0.069939,-2.471442,-0.011866,-41.532627,-42.148335,-43.592670,-41.528568,-42.520069,-44.042034,-0.001327,-0.008865,-0.034625,-0.000638,-0.008664,-0.051333,0.620864,1.419122,2.636972,-1.011395,0.792739,0.390468,0.001339,-0.002609,0.022526,0.001088,-0.012061,-0.009850,-0.009242,0.003749,0.052074,-0.005484,0.020832,0.041229,-0.008060,0.008644,-0.014904,-0.004198,0.016377,-0.051419
0.070000,-0.025130,-0.007375,0.991415,-0.022165,0.151839,1.071323,0.400046,-0.0000078,0.017622,-0.138825,-1.953505,-0.006614,-41.513874,-42.128490,-43.040039,-41.550877,-42.405163,-44.101780,-0.000891,-0.002117,-0.034637,-0.000447,-0.007771,-0.035080,0.810825,1.283229,2.822890,-1.075756,-1.345417,-0.613819,-0.000601,0.000259,0.012147,0.000505,0.006441,-0.016918,-0.007688,-0.011766,0.026479,-0.003262,0.001116,0.032198,0.000863,-0.002829,0.015173,-0.001187,-0.025364,-0.034967
0.080000,0.253850,-0.084002,0.849525,0.560256,-0.039147,0.464212,0.400024,-0.000012,0.017827,-0.250714,-1.267770,-0.004332,-41.374233,-42.028343,-42.644344,-41.651665,-42.030777,-43.975048,0.000193,-0.006027,-0.023926,-0.011158,0.000131,-0.011042,0.865959,1.541492,2.131729,-1.745508,-1.481853,-1.114821,-0.007072,0.002476,0.016346,-0.006666,0.000300,-0.006468,-0.000354,0.013324,0.024132,0.015320,-0.001419,0.020684,0.014248,-0.001313,-0.006986,-0.003803,0.000307,-0.010930
0.090000,0.853493,0.048941,0.911155,0.585068,0.244299,0.575772,0.400005,-0.0000024,0.018181,-0.136379,-1.001139,0.009125,-39.406178,-41.356071,-40.220505,-42.240547,-41.881737,-42.418491,-0.009696,-0.024247,-0.032285,-0.012333,-0.005150,-0.019383,2.630989,0.536798,3.754856,-1.731540,-0.354250,-2.033057,-0.003191,0.019913,0.004058,-0.009892,-0.010904,-0.001008,-0.009556,0.018721,0.010507,0.012629,0.011636,0.007049,0.011545,-0.009955,0.015255,0.002261,0.025511,-0.019245
0.100000,0.410066,-0.042455,0.734385,0.428010,0.283006,0.667423,0.399985,0.0000045,0.018632,0.030266,-1.024154,0.020147,-37.329414,-39.655144,-38.796993,-40.360966,-39.777874,-40.160595,0.000202,-0.013545,-0.019002,-0.010267,-0.015392,-0.020485,4.590024,2.475425,6.077994,-3.877064,-2.266463,-4.609878,-0.000163,-0.000524,0.008433,-0.004582,0.005435,-0.006913,-0.000105,0.006482,0.019204,0.008623,-0.009722,0.010585,-0.003031,0.011550,0.000571,-0.001753,-0.026807,-0.020419
0.110000,0.568323,-0.027662,0.234850,0.262011,-0.037377,0.693941,0.399975,0.0000019,0.018818,-0.201949,-0.988928,0.027304,-37.313358,-38.545879,-38.593044,-38.462330,-39.758350,-37.887691,0.000964,-0.014167,-0.005586,-0.005548,-0.000032,-0.019596,6.511137,4.911343,8.287997,-5.745133,-4.121120,-6.238232,0.000370,0.006570,0.005279,-0.003484,0.000628,-0.008571,0.003142,0.014795,0.007993,0.004572,-0.000940,0.012017,-0.003573,-0.002691,-0.010273,-0.001577,-0.001912,-0.019569
0.120000,0.580619,0.019251,0.545930,0.359864,-0.025512,0.933129,0.399968,-0.000011,0.018907,-0.319970,-0.884148,0.033060,-37.231659,-37.453899,-39.324406,-36.597664,-39.644169,-35.543026,-0.000453,-0.015712,-0.012872,-0.007104,0.000546,-0.024903,4.772827,6.910102,6.890951,-7.992968,-4.216439,-7.716546,0.008233,0.007258,0.015189,-0.005150,-0.007406,-0.014208,-0.002593,0.009566,0.014243,0.005731,-0.000068,0.015555,-0.027181,-0.002061,-0.029202,-0.001023,0.025047,-0.024971
0.130000,0.713821,0.214737,0.223612,0.257826,-0.079705,1.010109,0.399970,-0.000021,0.019004,-0.660113,-0.725453,0.038832,-39.176826,-36.020206,-41.439388,-34.685623,-41.518627,-34.121838,0.000968,-0.019091,-0.001713,-0.005079,0.007642,-0.026275,2.818300,8.953996,5.168159,-9.871364,-2.208694,-10.057175,0.003557,0.010010,0.004271,-0.004043,0.000226,-0.015622,0.021536,0.007309,0.009069,0.002407,0.018337,0.011190,-0.000777,-0.009552,-0.001965,-0.003890,0.000038,-0.026428
0.140000,0.494462,0.410344,0.437422,0.116884,-0.038852,0.575554,0.399972,-0.000018,0.018954,-0.692001,-0.777412,0.031645,-37.894527,-37.826603,-39.774319,-36.675446,-39.630127,-36.691422,-0.019351,-0.005542,-0.019351,0.002854,-0.006937,-0.003785,4.884432,7.662161,7.031953,-8.083333,-4.078553,-8.097136,-0.005604,0.014695,-0.004487,-0.007134,0.007529,-0.017848,-0.010594,0.021957,-0.005978,0.008286,-0.020696,0.034893,0.026187,-0.029142,0.026236,0.009472,-0.019878,-0.004072
0.150000,0.984809,0.085957,0.645315,0.540466,-0.081738,1.267803,0.399971,-0.000011,0.019128,-0.705281,-1.093579,0.027440,-36.049911,-35.432980,-38.187717,-34.592991,-37.635651,-35.365395,-0.004449,-0.031413,-0.017299,-0.014399,0.001038,-0.035706,6.943133,6.932697,9.358179,-6.905956,-5.941493,-7.119977,0.001511,0.012902,0.009597,-0.007760,0.000694,-0.018858,-0.000355,0.008820,0.015409,0.007130,0.002340,0.013439,-0.004060,-0.012389,-0.011729,-0.008743,0.001352,-0.035672
0.160000,1.381380,-0.087198,0.514432,0.390781,-0.081524,1.376859,0.399963,-0.0000068,0.019743,-0.783870,-1.370934,0.022098,-34.113266,-32.878296,-36.001675,-32.554012,-35.677574,-34.235714,0.001144,-0.037584,-0.016454,-0.007493,0.000534,-0.036865,8.822037,5.420192,11.786666,-5.120713,-7.869934,-6.167405,-0.001404,0.015674,0.006812,-0.006628,0.000994,-0.018827,0.000815,0.025683,0.005189,0.008471,-0.001499,0.024569,0.0000054,-0.008271,-0.006085,-0.005052,0.000333,-0.037283
0.170000,1.445925,-0.058721,0.162219,0.193201,-0.068779,1.383630,0.399952,-0.0000016,0.020663,-0.815808,-1.537345,0.018315,-32.155186,-31.761429,-34.029156,-30.704227,-33.719513,-33.077511,0.000167,-0.034225,-0.006258,-0.003674,0.000213,-0.035216,10.687607,4.494838,13.825124,-3.199006,-9.828201,-4.757282,-0.001034,0.021800,0.002860,-0.002992,0.000516,-0.023197,-0.002454,0.040484,-0.000627,0.004475,-0.002786,0.035766,0.001044,-0.025977,-0.004476,-0.003489,0.001644,-0.035168
0.180000,0.622499,-0.014622,-0.054611,-0.017010,-0.018617,0.554004,0.399946,0.0000022,0.021231,-0.784898,-1.462211,0.015602,-30.208635,-34.435596,-32.059647,-32.657818,-31.770294,-34.818756,-0.000374,-0.009790,0.001208,0.004517,-0.000293,-0.010723,12.645876,1.985509,15.757192,-1.249708,-11.770484,-2.906172,-0.000670,0.009692,-0.000965,0.000044,0.000017,-0.007583,-0.003778,0.027444,0.000849,0.002609,-0.003198,0.021196,0.002560,-0.010869,0.001413,0.000219,0.001824,-0.010879
0.190000,1.148645,-0.039501,-0.046796,-0.025905,-0.042840,1.025056,0.399935,0.0000064,0.021475,-0.794329,-1.358939,0.015641,-28.259541,-31.947250,-30.107065,-30.704874,-29.810160,-34.469738,0.000181,-0.034094,0.000511,-0.004511,0.000251,-0.029421,14.613873,1.373578,17.610796,0.711952,-13.690101,-2.565298,-0.000412,0.009689,-0.000668,0.000240,0.000266,-0.011626,-0.000555,0.017487,0.000716,-0.005124,-0.000755,0.018589,-0.000935,-0.005126,0.000377,-0.000130,0.001305,-0.029418
0.200000,1.629702,-0.085994,-0.054495,0.481494,-0.073440,1.060395,0.399936,0.000014,0.021838,-0.712801,-1.324841,0.022020,-28.185135,-30.890528,-30.054502,-29.054409,-29.701136,-33.962265,0.001536,-0.037898,0.001409,-0.007220,0.001407,-0.025437,16.476110,2.571239,19.412491,0.562152,-15.624027,-2.186223,-0.001610,0.020174,-0.000827,-0.007453,0.000677,-0.013203,0.003241,0.041105,0.003484,0.013417,0.002348,0.026935,0.002651,-0.018375,0.001717,-0.007304,-0.000448,-0.025385
0.210000,1.068887,-0.024890,-0.031055,0.286135,-0.031316,0.830819,0.399948,0.000013,0.022163,-0.329940,-1.403133,0.046327,-30.135929,-28.504160,-32.001644,-27.057003,-31.675789,-31.683060,0.007670,-0.029365,0.007624,-0.004972,0.007701,-0.022240,14.476286,2.492855,17.541538,-1.401918,-13.613101,-5.170896,0.007314,0.005569,0.006798,-0.000060,-0.008902,-0.004271,0.014495,0.022399,0.016193,0.005964,0.014838,0.015313,-0.024572,0.011333,-0.023848,-0.003626,0.026402,-0.022168
0.220000,1.088193,-0.041775,-0.044171,0.196818,-0.049896,0.925704,0.399962,0.0000069,0.022349,-0.036091,-1.487135,0.068387,-32.079933,-27.920120,-33.947014,-25.079691,-33.630360,-30.266918,0.000099,-0.022407,0.000110,-0.003013,0.000260,-0.021825,12.493836,4.742692,15.559306,-3.348525,-11.615005,-7.881335,-0.000650,0.015038,-0.000549,-0.002226,0.000853,-0.011561,-0.001381,0.033222,-0.001912,0.005197,-0.001497,0.025789,-0.000530,-0.008136,-0.000885,-0.000666,-0.001298,-0.021855
0.230000,0.874419,0.001522,0.005014,0.012341,-0.022437,0.949915,0.399960,-0.000005,0.022306,-0.044814,-1.613266,0.075108,-30.207438,-27.028330,-31.965044,-23.118063,-31.764318,-28.810179,-0.007813,-0.017638,-0.008163,-0.000488,-0.007697,-0.020936,10.570647,7.168830,13.618769,-5.290946,-9.646873,-9.910935,0.000612,0.011090,0.001012,-0.000039,0.000829,-0.015963,-0.019192,0.028519,-0.021151,0.001905,-0.019555,0.030462,-0.007922,-0.000233,-0.012258,-0.001038,0.001564,-0.021020
0.240000,0.558471,-0.003712,-0.024468,-0.019531,-0.027808,0.600368,0.399957,-0.000018,0.021745,-0.222186,-1.525163,0.077991,-28.271488,-26.959448,-30.017923,-23.122910,-29.813231,-28.586542,-0.000354,-0.011313,0.000041,0.0000050,-0.000137,-0.013998,8.609727,9.149093,11.644680,-7.221211,-7.675204,-11.533294,0.000392,0.006503,-0.000134,0.000513,0.000698,-0.009148,-0.002215,0.017062,-0.001650,-0.001329,-0.001989,0.015561,-0.000096,0.002662,0.001201,-0.001646,-0.003768,-0.014188
0.250000,0.280020,0.468272,1.230298,0.043955,1.322685,0.246431,0.399965,-0.000023,0.021394,-0.001947,-1.364968,0.081081,-26.197695,-28.736519,-28.679228,-25.095474,-28.607265,-30.484135,-0.009016,-0.003439,-0.026487,0.003562,-0.026754,-0.000832,6.754565,10.892158,11.076080,-9.054165,-7.114008,-13.546612,0.003409,0.007046,0.015290,-0.002057,-0.017041,-0.007555,0.020519,0.006666,0.037899,0.003510,0.041709,0.013905,0.017269,-0.003583,0.018575,0.002884,-0.008652,-0.001163
0.260000,0.033864,0.445566,0.996136,0.048029,1.119882,0.119082,0.399979,-0.000015,0.021309,0.102689,-1.571179,0.070364,-24.118368,-30.632101,-26.391165,-27.033043,-26.255194,-32.565350,-0.012474,0.001293,-0.022441,-0.000538,-0.025779,-0.001482,8.854493,8.981343,13.292040,-7.061409,-8.663070,-11.712361,0.000099,0.007714,0.009627,-0.005295,-0.011761,-0.009413,0.006617,0.008781,0.028343,0.003470,0.028446,0.009234,0.016315,-0.028470,0.021372,0.005711,-0.013707,-0.001449
0.270000,0.110051,0.222247,1.142148,0.064200,1.020930,0.734586,0.399987,-0.000017,0.021487,-0.281208,-1.763619,0.056722,-22.234093,-30.670555,-25.844328,-27.016817,-24.700775,-31.646954,-0.003972,-0.003379,-0.023227,-0.001781,-0.023559,-0.023574,10.947919,7.072251,15.195340,-5.136773,-10.497290,-10.493128,0.004718,0.001910,0.023149,-0.000652,-0.017348,-0.009117,0.008670,0.001955,0.034882,0.000715,0.026845,0.009788,-0.008674,-0.002963,-0.015318,-0.003883,-0.000663,-0.023782
