Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000014,0.000000082,-0.00000014,0.00000039,0.0000013,0.400000,-0.0000000048,0.021764,0.0000003,-0.00000071,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789728,-0.789727,0.000000048,-0.0000000015,0.0000000039,0.0000000017,-0.000000011,-0.000000012,-0.00000013,0.0000018,-0.00000013,0.000000013,-0.0000017,0.000000021,0.0000004,0.00000086,0.000001,0.00000022,0.0000013,-0.00000001
0.020000,-0.014662,-0.011764,-0.015746,-0.0000020,-0.022185,0.004741,0.399999,0.000000073,0.020049,0.016638,-0.001195,0.001308,-41.910149,-42.065701,-42.067188,-41.999943,-42.081631,-42.100315,0.003338,0.003485,0.003479,-0.000307,-0.003265,-0.003365,0.803941,0.791919,0.755583,-0.788216,-0.650218,-0.832957,-0.002674,-0.002763,-0.002667,-0.000270,0.004697,-0.002623,0.007840,0.008161,0.008077,-0.000515,-0.009289,-0.009308,0.005017,0.004317,0.003255,-0.000200,-0.014944,-0.003368
0.030000,0.361023,0.398972,0.469475,-0.000779,0.024098,0.793485,0.400007,0.000009,0.017751,0.395986,0.032684,0.000167,-42.262367,-42.090748,-41.988686,-42.001408,-42.078606,-41.666557,-0.010035,-0.009474,-0.010411,-0.000013,-0.000069,-0.017482,1.011906,0.990596,1.735496,-0.782348,-0.778426,-1.154773,0.002225,0.002771,0.007808,-0.000220,-0.009610,-0.000988,0.005232,0.004300,0.008129,-0.000579,-0.001596,0.016860,0.015139,0.014595,0.002569,0.001505,0.031880,-0.017340
0.040000,0.613628,0.717426,1.230440,-0.045394,1.543170,1.096962,0.400018,0.000029,0.016535,1.409288,-0.233866,-0.005377,-42.230312,-42.870266,-41.449139,-42.000221,-41.449432,-41.232124,-0.022257,-0.018448,-0.035310,0.000129,-0.038266,-0.039256,0.770664,1.321368,-2.118861,-0.765515,-4.400346,1.758719,0.018033,0.009317,0.013640,0.000315,-0.013595,-0.024447,-0.004513,-0.000901,-0.002090,0.001358,0.026439,-0.037100,0.001455,0.013909,0.027332,-0.000426,0.024284,-0.039761
0.050000,0.592018,0.235244,1.378920,-0.040985,1.624758,1.599339,0.400027,0.000030,0.016396,1.565743,-0.497954,0.001393,-42.593948,-43.021523,-41.986034,-41.998383,-42.260960,-43.380371,-0.006818,-0.016541,-0.040788,0.0000023,-0.049194,-0.037156,0.077099,-0.344255,1.377403,-0.726939,-1.423369,-0.971963,0.005403,0.020490,0.018642,0.000483,-0.017768,-0.010107,-0.0000071,0.003938,0.003553,-0.000973,-0.000469,0.045045,-0.006760,-0.015878,0.029346,-0.002302,0.041946,-0.037179
0.060000,0.352990,0.117610,1.300578,-0.021050,1.057970,0.983546,0.400023,0.000020,0.016982,1.270878,-0.576506,-0.001631,-42.817219,-42.881084,-42.249348,-41.998768,-41.710155,-42.907391,-0.004490,-0.013029,-0.041223,-0.0000040,-0.035129,-0.028970,0.121168,0.514641,0.810224,-0.730259,-2.072474,-1.097794,0.001186,0.003047,0.016017,0.000115,-0.005576,-0.004622,0.002479,-0.004633,0.003465,-0.000383,-0.002013,0.007973,0.001050,0.012260,0.035547,-0.000011,0.007640,-0.029121
0.070000,0.284084,-0.008841,0.811638,-0.019117,0.699436,0.543701,0.400012,0.0000084,0.017640,0.581547,-0.429645,-0.013391,-42.755604,-42.733509,-41.866920,-41.998695,-41.861107,-42.620949,-0.000732,-0.008438,-0.021160,-0.000010,-0.019770,-0.018753,0.159143,0.627612,1.105425,-0.709767,1.891197,-0.937975,0.000603,0.003735,0.011542,0.000276,-0.013154,-0.006543,-0.003242,0.001924,0.011244,-0.000446,0.007607,-0.002813,-0.005313,-0.001236,0.010515,-0.001399,0.022661,-0.018773
0.080000,0.239024,0.148497,0.652868,-0.010865,0.377281,0.498780,0.400001,0.0000048,0.018100,0.294563,-0.216291,-0.024018,-42.663971,-42.620594,-41.559219,-41.996651,-41.684109,-42.388645,-0.005445,-0.007617,-0.019640,-0.000001,-0.011172,-0.012966,0.555486,0.927540,1.478026,-0.721149,1.534607,0.802083,0.000103,0.001954,0.010770,0.000064,-0.005100,-0.011212,-0.000407,0.001078,0.002001,-0.000148,0.002066,0.006229,0.005920,0.003557,0.010033,0.000103,-0.000618,-0.012858
0.090000,0.460517,0.261256,0.592796,-0.010557,0.291355,0.471797,0.399988,0.000012,0.018328,0.490226,-0.170812,-0.021214,-41.176003,-41.442181,-40.065639,-41.995770,-42.140614,-42.470257,-0.015512,-0.017962,-0.020714,0.000047,-0.008221,-0.011066,2.420100,1.044882,2.654594,-0.724833,-1.435325,0.598407,-0.006728,0.002974,0.003223,-0.000079,0.001386,-0.005881,-0.011993,-0.005595,-0.002693,0.000377,0.003882,0.008081,0.029098,0.012989,0.016590,0.000946,-0.008488,-0.011025
0.100000,0.419391,0.172102,0.539900,-0.030174,0.602522,0.721392,0.399974,0.000022,0.018536,0.668867,-0.206224,-0.015977,-39.164371,-39.304974,-38.462292,-40.045593,-40.531342,-41.699547,-0.005554,-0.013844,-0.014819,0.000046,-0.016759,-0.025055,4.627481,2.924168,5.431558,-2.673958,-3.798580,-1.606433,0.002202,-0.001713,0.005780,0.001058,-0.005888,-0.000214,0.001162,0.000062,0.003717,0.000061,0.004013,-0.008166,-0.000346,0.021589,0.007114,-0.002181,0.003524,-0.024989
0.110000,0.786183,-0.017945,-0.015972,-0.013774,0.147585,0.796253,0.399964,0.000027,0.018471,0.631278,-0.125423,-0.013105,-39.240623,-37.875908,-38.383659,-38.096478,-40.862747,-39.399723,0.000188,-0.020475,-0.001091,0.0000079,-0.005168,-0.023074,6.616022,5.197009,7.278304,-4.612421,-5.709064,-4.217558,0.000522,0.009309,0.000979,0.000161,-0.001651,-0.007697,0.000934,0.004631,-0.003602,-0.000068,-0.000185,0.000148,-0.003350,0.008747,-0.005071,-0.000627,-0.000414,-0.023026
0.120000,0.903078,0.019754,0.304179,-0.013925,0.479389,0.970455,0.399959,0.000019,0.018390,0.639056,0.091774,-0.015693,-39.254730,-37.193310,-38.763786,-36.145653,-41.527561,-38.936569,-0.000484,-0.022206,-0.005981,-0.000010,-0.011669,-0.026486,4.624640,7.203556,5.369485,-6.538959,-3.922989,-6.319781,0.009011,0.013115,0.011061,0.000077,-0.014669,-0.011370,-0.002468,0.000400,0.009275,-0.000315,0.004794,-0.001274,-0.031183,0.008976,-0.021324,0.000330,0.031234,-0.026515
0.130000,0.800424,0.238517,0.125046,-0.023549,0.596093,0.775158,0.399962,0.0000096,0.018386,0.479229,0.225605,-0.014912,-41.217766,-35.601944,-40.713634,-34.195602,-42.175808,-37.369370,0.000617,-0.019847,0.001854,0.000044,-0.016997,-0.021347,2.984246,9.891644,3.594483,-8.458273,-1.757681,-8.724225,0.003183,0.012125,0.004207,0.000248,-0.008276,-0.010645,0.021134,-0.001352,0.010168,0.000046,-0.003494,-0.004832,0.006410,0.004108,-0.003797,-0.001041,0.002045,-0.021426
0.140000,0.560095,0.334241,0.557146,-0.011632,0.594965,0.347236,0.399968,0.0000098,0.018386,0.316823,0.015075,-0.025112,-39.408371,-38.124237,-39.139912,-36.145149,-41.110291,-39.485455,-0.018741,-0.007571,-0.022367,0.000654,-0.017433,-0.000263,4.942052,8.748380,5.904371,-6.508608,-3.859122,-7.463157,-0.005674,0.015254,-0.003759,-0.000752,0.000284,-0.014458,-0.020191,0.014303,-0.013624,0.001716,-0.001450,0.024410,0.031791,-0.019518,0.035972,0.002478,-0.019440,-0.000367
0.150000,0.791956,0.152083,0.635593,-0.020273,0.500449,1.031097,0.399967,0.000017,0.018539,0.303507,-0.269423,-0.035616,-37.543655,-37.407700,-37.542870,-34.195118,-39.467834,-39.200905,-0.005004,-0.025357,-0.017796,-0.000579,-0.014657,-0.031102,6.973132,7.280408,8.458998,-4.554944,-5.610765,-5.678438,0.002099,0.010434,0.007671,0.000164,-0.007567,-0.015340,0.000611,-0.005317,0.000837,-0.000911,0.001995,-0.006452,-0.000330,0.004555,0.006056,-0.000224,0.007101,-0.031194
0.160000,0.950138,0.061425,0.465523,-0.019996,0.390336,1.214253,0.399958,0.000020,0.018953,0.173750,-0.379014,-0.048803,-35.617878,-36.852028,-35.820202,-32.245724,-37.668648,-38.035168,-0.002705,-0.024424,-0.013258,-0.0000039,-0.013326,-0.034859,8.941072,5.872406,10.691321,-2.596009,-7.712326,-4.547353,0.001162,0.012907,0.008172,0.000190,-0.004730,-0.016807,-0.000391,0.003744,0.000503,-0.000352,-0.003709,-0.000899,-0.002465,0.006425,-0.004646,-0.000581,-0.000225,-0.035046
0.170000,1.103249,0.059028,0.197582,-0.014498,0.157183,1.143206,0.399946,0.000021,0.019500,0.058196,-0.323031,-0.060192,-33.699642,-34.409397,-34.036369,-30.296333,-35.664146,-37.793537,-0.002542,-0.029717,-0.006147,-0.0000032,-0.005089,-0.029031,10.886857,4.957078,12.847177,-0.639377,-9.724348,-3.067873,0.000735,0.014708,0.003490,0.000086,-0.002689,-0.016854,-0.000852,0.002672,-0.002157,-0.000305,-0.000084,0.008644,0.000330,0.004007,-0.000854,-0.0000089,0.001919,-0.028875
0.180000,0.672881,0.045390,-0.033453,-0.017020,0.261411,0.345323,0.399942,0.000028,0.019722,0.234398,-0.242445,-0.067861,-31.759533,-36.773918,-32.052437,-32.245537,-33.885120,-40.091167,-0.001516,-0.010761,0.000155,0.000625,-0.005629,-0.003639,12.787534,2.792755,14.773398,-0.640365,-11.758901,-1.607136,-0.000127,0.011300,-0.001056,0.000854,-0.003946,-0.006319,0.001000,0.014052,0.000803,0.000634,0.005287,0.015059,0.004458,-0.000237,0.003006,-0.000615,0.002276,-0.003738
0.190000,1.154360,0.022856,0.014320,-0.007893,0.200902,0.982862,0.399936,0.000036,0.019734,0.444540,-0.264961,-0.078881,-29.770432,-35.428238,-30.049435,-30.295971,-31.878878,-38.686333,-0.001234,-0.033079,-0.000729,-0.000585,-0.004719,-0.030519,14.751269,1.781532,16.744373,1.311287,-13.962911,1.905568,0.000512,0.013481,0.000284,-0.000703,-0.003971,-0.010868,0.001300,0.000084,0.002930,-0.000751,0.003905,-0.004224,-0.000253,0.011026,-0.000069,0.000594,0.002452,-0.030434
0.200000,1.680387,-0.061979,-0.080155,-0.027225,0.003032,1.346495,0.399935,0.000049,0.019872,0.804195,-0.121785,-0.081549,-29.779837,-32.738293,-30.134911,-28.345715,-31.911949,-37.437355,0.001124,-0.045915,0.001367,0.000025,-0.001519,-0.036020,16.511738,3.769609,18.751766,-0.638598,-15.935912,2.182683,-0.000841,0.012810,-0.001854,0.000983,-0.000828,-0.015778,0.001420,-0.003942,0.002267,-0.000117,-0.002570,0.002555,-0.000214,0.041001,0.002964,-0.001213,-0.000095,-0.036014
0.210000,1.396080,-0.015696,-0.050616,-0.011926,0.156011,1.416597,0.399936,0.000053,0.020240,1.287774,0.231733,-0.077322,-31.748266,-31.699499,-32.096100,-26.395710,-33.836388,-34.820328,0.006603,-0.034979,0.006875,-0.000036,0.002882,-0.043042,14.709988,4.391921,16.908817,-2.593064,-13.932233,-4.014584,0.007227,0.012330,0.007374,0.000056,-0.012466,-0.006037,0.011929,-0.002416,0.010883,-0.000818,0.013145,-0.018264,-0.027091,0.040148,-0.029378,-0.000167,0.029940,-0.042907
0.220000,0.658150,0.016308,-0.019909,-0.016658,-0.054484,1.245573,0.399930,0.000042,0.020492,0.991588,0.854460,-0.079663,-33.701599,-30.544493,-34.040131,-24.445076,-35.797764,-33.436501,-0.000750,-0.017110,-0.000610,-0.000024,-0.000701,-0.032924,12.833297,6.330657,15.128022,-4.519030,-11.952291,-4.575146,0.001917,0.012672,0.001481,0.000313,0.002159,-0.015671,-0.002847,-0.018684,-0.003396,-0.000099,-0.002975,-0.017792,-0.011050,0.000071,-0.013286,-0.001708,-0.009641,-0.032782
0.230000,0.928248,0.557551,-0.015790,-0.023722,0.401995,0.815299,0.399918,0.000029,0.020624,0.845753,1.230547,-0.088574,-31.666973,-29.087713,-32.090843,-22.489826,-34.228203,-31.880575,-0.018319,-0.017593,-0.007278,0.000115,-0.014562,-0.014975,11.217602,8.876651,13.146940,-6.456771,-10.221967,-6.952480,0.006106,0.010032,-0.000740,0.000064,-0.005134,-0.010451,-0.010156,-0.002044,-0.013654,0.001421,-0.013961,-0.003301,0.019645,0.024924,-0.002684,0.000580,0.007282,-0.014834
0.240000,0.048001,1.001359,-0.004902,-0.035536,0.904902,0.382666,0.399930,0.000016,0.020779,0.778025,0.720948,-0.087203,-29.416796,-29.119427,-30.172907,-22.478559,-32.653767,-31.730850,-0.024038,-0.000397,0.002387,0.000183,-0.018722,-0.006136,8.842828,10.824976,11.178097,-8.397289,-9.752772,-9.123422,0.018633,0.002846,-0.000241,0.000293,-0.013078,-0.004078,-0.018438,0.008690,0.015653,0.001704,-0.005304,0.007753,0.007264,-0.007100,0.002919,-0.000506,0.008479,-0.006076
0.250000,-0.069518,0.775013,0.669395,-0.025878,0.879494,0.436988,0.399959,0.0000015,0.020934,0.623759,-0.376421,-0.088447,-28.292463,-29.145931,-27.988260,-24.422804,-31.760370,-31.600216,-0.016720,0.001728,-0.009431,0.000683,-0.019891,-0.008728,7.503810,12.646205,9.018883,-10.329076,-7.768097,-11.646536,0.014100,-0.001252,0.007572,0.000184,-0.013926,-0.007088,0.001424,0.008081,0.020551,0.001706,0.004358,0.007597,0.009849,-0.000089,0.020749,-0.000435,0.010359,-0.008828
0.260000,0.001400,-0.033093,1.143948,0.006321,0.409892,0.441319,0.399983,0.000001,0.021062,0.468184,-1.005841,-0.102294,-26.336975,-31.078127,-26.653072,-26.374493,-30.055063,-34.088627,-0.001700,0.005799,-0.027829,-0.000108,-0.011869,-0.005550,9.402384,10.702196,12.135579,-8.383505,-10.082215,-9.617628,-0.009754,0.008382,0.010727,-0.000797,-0.000155,-0.016356,-0.006314,0.006822,0.001277,-0.000842,-0.002704,0.013096,0.029122,-0.029047,0.035679,0.001727,-0.015228,-0.005914
0.270000,-0.033608,0.024813,0.988530,-0.009022,0.529129,0.622956,0.399991,0.0000065,0.020959,0.422507,-1.274750,-0.119577,-24.486713,-31.067741,-25.202759,-26.375317,-28.369221,-32.055927,-0.000613,-0.001357,-0.021858,-0.000054,-0.013468,-0.021491,11.612414,8.698082,14.737909,-6.426793,-11.999000,-8.166990,-0.000055,-0.000461,0.016851,0.000121,-0.008103,-0.007119,0.001743,-0.010218,0.017016,-0.001123,0.008768,-0.000217,-0.000507,-0.000304,0.011016,-0.000891,0.004625,-0.021498
0.280000,1.128013,-0.030990,0.472453,-0.012399,0.267818,1.341730,0.399992,0.0000033,0.021060,-0.002641,-1.031897,-0.128716,-24.583755,-28.708952,-25.042454,-24.426100,-26.729244,-29.601322,-0.000347,-0.031099,-0.011849,-0.000637,-0.007248,-0.034972,13.579126,6.261726,17.123775,-4.466108,-14.345617,-6.491241,0.000410,0.015419,0.011393,0.000065,-0.004637,-0.020481,-0.005135,0.013120,0.000467,-0.001592,0.000730,0.017291,-0.001983,0.004955,-0.009779,0.000329,-0.000035,-0.034938
0.290000,1.931456,-0.097552,-0.048521,-0.019479,-0.067565,1.651482,0.399986,0.0000043,0.021525,0.211359,-0.351937,-0.115246,-26.443882,-26.021229,-25.060226,-22.477707,-26.730028,-29.847460,0.007081,-0.045307,-0.001532,-0.000031,0.000440,-0.037420,15.500978,4.870335,17.370264,-4.461078,-16.307446,-3.540762,-0.002788,0.028022,0.000418,0.000824,-0.000625,-0.025948,0.007914,0.009680,-0.006645,-0.000815,-0.004281,0.012923,0.012742,0.009267,-0.004498,-0.000976,0.004339,-0.037536
0.300000,1.495185,-0.014241,-0.094009,-0.004157,-0.026225,1.103259,0.399982,0.000018,0.022128,1.114291,0.507166,-0.111901,-28.394482,-23.518536,-27.020288,-20.528648,-28.607098,-28.322758,-0.000330,-0.036746,0.008902,-0.000028,0.006945,-0.027125,13.587268,7.237214,15.369947,-6.410090,-14.653320,-7.139699,0.006146,0.008968,0.003197,-0.000134,-0.009295,-0.007476,-0.002182,-0.017173,0.015362,-0.000320,0.014031,-0.010079,-0.023146,0.059224,-0.006683,0.001044,0.027300,-0.027113
0.310000,0.542328,0.009752,-0.007998,-0.014665,0.342979,0.583577,0.399968,0.000019,0.022354,1.638205,1.432705,-0.132475,-28.511911,-21.925425,-27.034466,-18.578743,-28.772585,-27.044531,-0.000893,-0.006886,-0.000830,0.000003,-0.006650,-0.012477,11.604409,9.267583,13.563745,-8.354942,-13.082355,-8.986989,0.001749,0.011384,0.001105,0.000242,-0.004021,-0.008018,-0.003072,-0.005613,-0.003792,0.000500,-0.006143,-0.011486,-0.008817,0.003232,-0.008799,-0.001389,-0.000325,-0.012429
0.320000,0.424531,0.914742,0.028314,-0.044362,1.197116,0.391447,0.399970,0.000015,0.022661,1.883469,1.649580,-0.146697,-26.907669,-20.196945,-25.067656,-18.574257,-26.482391,-25.011635,-0.022056,-0.005052,-0.005752,0.000214,-0.028779,-0.005784,10.257988,11.730249,11.595120,-10.293272,-11.889805,-11.104064,0.014215,0.008190,0.001146,0.000402,-0.017961,-0.004931,-0.021119,-0.002272,-0.000045,0.002613,-0.038175,0.000304,0.031615,0.010190,-0.010342,-0.001694,0.036694,-0.005743
0.330000,-0.058719,0.932446,0.038289,-0.046017,1.405265,-0.033041,0.399996,-0.0000058,0.022949,1.254554,0.969992,-0.118209,-25.807787,-21.923784,-23.027254,-20.527433,-25.052799,-25.053148,-0.017348,0.010031,0.001540,0.000798,-0.027066,0.002635,9.632752,13.652101,9.824463,-12.226856,-9.264480,-12.805251,0.018406,0.000671,0.002590,0.000548,-0.023452,0.001697,-0.013318,0.025736,0.013677,0.002144,-0.026382,0.010944,0.011788,-0.004077,-0.008889,-0.003004,0.032726,0.002762
0.340000,0.283212,0.145664,0.530185,0.004633,0.534501,-0.024343,0.400035,-0.000024,0.022877,0.303133,-0.042695,-0.112130,-24.012760,-23.832628,-21.492092,-22.478922,-23.268772,-27.038780,-0.004968,-0.003524,-0.007309,-0.000018,-0.010186,0.008049,11.536080,11.667411,11.624818,-10.276715,-11.607968,-10.926950,-0.004685,0.012723,-0.002546,-0.000902,-0.001961,-0.007952,-0.008615,0.006532,0.005407,0.001070,-0.001005,0.017077,0.029289,-0.026164,0.042116,0.002929,-0.012855,0.008018
0.350000,0.256755,-0.070276,0.923002,0.00000081,0.593900,0.212579,0.400067,-0.000019,0.022607,0.363387,-0.640509,-0.121769,-22.064444,-25.909739,-19.892496,-24.430439,-21.612268,-28.915428,0.000558,-0.006504,-0.016842,-0.000058,-0.010201,-0.006209,13.498012,9.959809,15.220421,-8.328438,-13.675951,-9.352386,-0.003425,0.002502,0.014963,-0.000115,-0.010984,-0.004675,0.001136,-0.008316,0.001297,-0.000631,0.006651,-0.005668,0.008646,0.011751,0.013168,0.000824,0.008392,-0.006358
