Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000021,0.0000014,0.000000092,-0.00000014,0.00000038,0.0000012,0.400000,-0.0000000048,0.021764,0.00000016,-0.00000069,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789728,-0.789728,0.000000039,-0.0000000016,0.0000000053,0.0000000017,-0.00000001,-0.000000009,-0.00000013,0.0000018,-0.00000013,0.000000012,-0.0000017,0.00000002,0.00000043,0.00000086,0.00000096,0.00000021,0.0000013,-0.0000000097
0.020000,-0.025368,-0.021883,-0.024780,0.003073,-0.011800,-0.012286,0.399999,0.000000070,0.020050,0.012804,-0.001811,0.000716,-41.959217,-42.074375,-41.897827,-41.999836,-41.937294,-42.079891,0.003493,0.003517,0.003368,-0.000308,-0.003389,-0.003318,0.608133,0.821180,0.644661,-0.789709,-0.841739,-0.748764,-0.003158,-0.003473,-0.003288,-0.000351,0.004140,0.003912,0.008395,0.008367,0.007994,-0.000582,-0.009640,-0.009518,0.006798,0.007165,0.006358,0.000225,-0.012363,-0.003326
0.030000,0.246519,0.373979,0.483499,0.009921,0.040795,0.079917,0.400004,0.000017,0.017575,0.881342,-0.103080,-0.002102,-42.267296,-42.067394,-41.759174,-41.999157,-42.023186,-42.088959,-0.008781,-0.007929,-0.010567,0.000015,0.000153,-0.000148,0.568518,0.672856,0.622340,-0.787152,-1.074142,-0.617779,0.005826,0.001402,0.006731,-0.000497,-0.003759,-0.011012,0.007386,0.002579,0.009831,0.000447,0.002046,0.002040,0.010694,0.022601,0.010346,0.004237,0.018497,-0.000132
0.040000,0.434056,0.715257,1.476601,-0.058654,1.794448,1.815412,0.400027,0.000036,0.016187,1.527057,-0.366384,0.009343,-42.358124,-42.706295,-42.175198,-41.994465,-41.251030,-42.436531,-0.022062,-0.011609,-0.044407,0.000070,-0.047778,-0.045918,0.730120,1.385299,1.185475,-0.736542,-4.156455,-0.993747,0.009296,0.015956,0.016214,0.000713,-0.016415,-0.016543,-0.003518,0.004422,-0.004271,-0.000572,0.024644,0.034261,0.007543,-0.013837,0.034427,-0.004228,0.031948,-0.046074
0.050000,0.584252,0.347455,1.558147,-0.048245,1.759980,1.722307,0.400032,0.000030,0.016302,1.474479,-0.617523,0.011403,-42.185970,-42.425056,-41.235703,-41.994457,-42.565773,-43.409142,-0.012082,-0.019067,-0.043688,0.000048,-0.056413,-0.054740,1.078979,0.568436,1.911060,-0.692210,-1.389335,2.668009,0.007242,0.016219,0.025127,0.000501,-0.017392,-0.012773,-0.002500,0.000656,0.009021,-0.000054,-0.000029,-0.001115,-0.005833,0.001653,0.031107,-0.001896,0.041052,-0.055201
0.060000,0.400186,0.198646,1.066855,-0.035322,1.105803,0.754901,0.400030,0.000013,0.017071,0.588636,-0.961951,0.002765,-42.082153,-42.251083,-41.723839,-41.996487,-41.566166,-44.727840,-0.006831,-0.011280,-0.031694,0.000045,-0.032019,-0.026061,0.679495,1.272983,1.291862,-0.689367,-1.996532,-1.126753,-0.001349,0.006868,0.010706,0.000467,-0.012044,-0.010535,0.006829,0.005518,0.014907,-0.000220,0.019948,0.002964,0.013023,-0.001741,0.019838,-0.002383,0.015602,-0.026059
0.070000,0.297339,-0.026477,0.839420,0.000781,0.328727,0.699628,0.400022,0.0000061,0.017809,0.234264,-0.957709,0.000690,-42.162506,-42.839417,-43.150291,-41.996685,-41.462399,-43.969894,0.001116,-0.011164,-0.025724,-0.000057,-0.009212,-0.021342,0.620700,1.205337,0.923223,-0.698326,-1.317569,-0.473535,0.004103,-0.000266,0.018218,-0.000168,-0.011406,-0.003020,-0.001198,0.003808,0.007720,-0.000869,0.004564,0.010045,-0.009104,0.027823,-0.003721,0.001147,0.023210,-0.021230
0.080000,-0.035288,-0.014157,0.770811,-0.007642,0.281651,0.463558,0.400006,0.0000024,0.018194,-0.062753,-0.647042,-0.003357,-42.240597,-42.719299,-41.738529,-41.999203,-41.316162,-42.256508,-0.000116,-0.000129,-0.024095,-0.000041,-0.010495,-0.014011,0.831261,1.424859,1.821967,-0.688473,-0.566885,-1.111430,-0.001219,-0.000321,0.005253,0.000125,0.003906,-0.011320,-0.002830,-0.004272,0.007782,-0.000492,-0.000802,0.005647,0.002232,-0.002551,0.020665,-0.000418,-0.023805,-0.013983
0.090000,0.480277,0.163685,0.787422,-0.005512,0.408139,0.327506,0.399987,0.000016,0.018288,0.159019,-0.276187,0.004653,-40.299770,-40.512947,-39.399994,-41.999298,-42.000057,-42.747887,-0.013035,-0.019223,-0.025235,0.000027,-0.008189,-0.009147,2.475206,2.405730,3.372966,-0.689515,0.348941,-0.402483,-0.007974,0.008184,0.007705,-0.000198,-0.013945,0.001335,-0.011681,-0.007801,-0.000110,0.000045,0.010620,0.004088,0.028801,-0.002083,0.009692,0.001441,0.027794,-0.009109
